Year,Fertilizer,Production,Import
2012-2013,Urea,10.27,13.14
,TSP,0.40,5.66
,DAP,0.28,2.85
,MOP,-,7.87
2013-2014,Urea,8.39,17.42
,TSP,0.86,5.43
,DAP,0.48,4.45
,MOP,-,3.82
2014-2015,Urea,8.78,18.76
,TSP,0.88,6.78
,DAP,0.63,5.74
,MOP,-,6.18
2015-2016,Urea,10.08,16.77
,TSP,0.95,6.32
,DAP,1.02,5.50
,MOP,-,7.05
2016-2017,Urea,9.23,11.16
,TSP,1.07,6.62
,DAP,0.59,5.50
,MOP,-,8.24
2017-2018,Urea,7.64,14.57
,TSP,1.00,7.79
,DAP,0.53,7.38
,MOP,-,8.45
2018-2019,Urea,7.83,14.57
,TSP,0.97,7.79
,DAP,0.24,7.38
,MOP,-,8.45
2019-2020,Urea,7.96,16.99
,TSP,1.04,5.66
,DAP,0.76,8.13
,MOP,-,7.89
2020-2021,Urea,10.34,13.07
,TSP,.92,3.86
,DAP,1.02,14.26
,MOP,-,6.87
2021-2022,Urea,10.10,17.04
,TSP,0.88,7.38
,DAP,1.02,18.07
,MOP,-,9.04
2022-2023,Urea,7.18,20.74
,TSP,0.88,7.66
,DAP,1.19,14.69
,MOP,-,11.99
2023-2024,Urea,6.94,17.47
,TSP,1.00,6.94
,DAP,0.92,12.72
,MOP,-,10.63
