District name,Oct-2024,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,Without Food (in TK),,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,667,,,467,,,617,,,425,,,600,,,375,,,671,,,486,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,494,,,404,,
Rangamati,419,,,332,,,400,,,300,,,0,,,0,,,532,,,365,,
Chattogram,679,,,470,,,632,,,444,,,566,,,400,,,754,,,535,,
Cox’sbazar,737,,,404,,,698,,,395,,,687,,,385,,,803,,,456,,
Cumilla,613,,,438,,,556,,,425,,,510,,,388,,,753,,,482,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,600,,,0,,
Brahmmanbaria,490,,,400,,,423,,,350,,,350,,,300,,,592,,,508,,
Noakhali,650,,,0,,,619,,,0,,,600,,,0,,,717,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,490,,,0,,
Feni,675,,,0,,,0,,,0,,,0,,,0,,,713,,,0,,
ChattogramDivision,598,,,401,,,564,,,390,,,552,,,368,,,647,,,462,,
Sylhet,464,,,350,,,414,,,0,,,375,,,0,,,521,,,400,,
Maulavi Bazar,468,,,397,,,400,,,350,,,0,,,0,,,513,,,430,,
Sunamganj,488,,,346,,,0,,,0,,,0,,,0,,,528,,,386,,
Habiganj,513,,,375,,,0,,,0,,,0,,,0,,,544,,,386,,
Sylhet Division,483,,,367,,,407,,,350,,,375,,,0,,,527,,,400,,
Dhaka,550,,,470,,,520,,,420,,,470,,,370,,,650,,,580,,
Gazipur,688,,,475,,,650,,,475,,,613,,,450,,,755,,,560,,
Manikganj,575,,,0,,,520,,,425,,,490,,,400,,,622,,,516,,
Munshiganj,0,,,0,,,0,,,0,,,530,,,0,,,582,,,500,,
Narayanganj,655,,,550,,,600,,,500,,,540,,,450,,,664,,,566,,
Narsingdi,0,,,0,,,585,,,0,,,541,,,0,,,583,,,0,,
Faridpur,568,,,413,,,0,,,0,,,0,,,0,,,617,,,480,,
Rajbari,517,,,0,,,500,,,0,,,0,,,0,,,580,,,0,,
Madaripur,508,,,463,,,0,,,0,,,550,,,0,,,561,,,483,,
Gopalganj,600,,,0,,,0,,,0,,,500,,,350,,,575,,,450,,
Shariatpur,625,,,388,,,0,,,0,,,600,,,0,,,679,,,440,,
Tangail,590,,,410,,,524,,,370,,,501,,,320,,,617,,,480,,
Kishoreganj,558,,,0,,,562,,,0,,,630,,,0,,,619,,,0,,
Dhaka Division,585,,,453,,,558,,,438,,,542,,,404,,,623,,,506,,
Mymensing,585,,,486,,,553,,,456,,,537,,,405,,,621,,,517,,
Jamalpur,560,,,-,,,535,,,-,,,515,,,-,,,600,,,-,,
Sherpur,,584,,,350,,,520,,,,,,450,,,-,,,630,,,400,
Netrokona,562,562,,500,500,,539,539,,425,425,,500,500,,400,400,,600,600,,513,513,
MymensingDivision,573,,,445,,,537,,,441,,,501,,,403,,,613,,,477,,
