District,Principal River,,,,,,"Principal
River
Total (A)","Other River
Total (B)","Grand
Total
(A+B)"
,"Lower
Meghna","Upper
Meghna","Lower
Padma","Upper
Padma",Jamuna,"Brahma
Putra",,,
Dinajpur,0,0,0,0,0,0,0,331,331
Gaibandha,0,0,0,0,336,1529,1865,555,2420
Kurigram,0,0,0,0,0,3851,3851,620,4471
Lalmonirhat,0,0,0,0,0,0,0,235,235
Nilphamari,0,0,0,0,0,0,0,227,227
Panchagarh,0,0,0,0,0,0,0,137,137
Rangpur,0,0,0,0,0,0,0,184,184
Thakurgaon,0,0,0,0,0,0,0,132,132
Rangpur Division,0,0,0,0,336,5380,5716,2421,8137
Bogura,0,0,0,0,204,0,204,811,1015
Chapai Nawabganj,0,0,0,1246,0,0,1246,840,2086
Joypurhat,0,0,0,0,0,0,0,204,204
Naogaon,0,0,0,0,0,0,0,1396,1396
Natore,0,0,0,531,0,0,531,413,944
Pabna,0,0,0,2249,1046,0,3295,1417,4712
Rajshahi,0,0,0,1851,0,0,1851,1785,3636
Sirajganj,0,0,0,0,2926,0,2926,1913,4839
Rajshahi Division,0,0,0,5877,4176,0,10053,8779,18832
Bandarban,0,0,0,0,0,0,0,164,164
Brahmanbaria,0,1544,0,0,0,0,1544,754,2298
Chandpur,35877,0,0,0,0,0,35877,1688,37565
Chattogram,0,0,0,0,0,0,0,7604,7604
Cumilla,0,495,0,0,0,0,495,672,1167
Cox’s Bazar,0,0,0,0,0,0,0,4860,4860
Feni,0,0,0,0,0,0,0,1481,1481
Khagrachhari,0,0,0,0,0,0,0,184,184
Lakshmipur,25225,0,0,0,0,0,25225,370,25595
Noakhali,15028,0,0,0,0,0,15028,125,15153
Rangamati,0,0,0,0,0,0,0,253,253
Chattogram Division,76130,2039,0,0,0,0,78169,18155,96324
Habiganj,0,181,0,0,0,0,181,930,1111
Moulvibazar,0,0,0,0,0,0,0,550,550
Sunamganj,0,0,0,0,0,0,0,1012,1012
Sylhet,0,0,0,0,0,0,0,960,960
Sylhet Division,0,181,0,0,0,0,181,3452,3633
TOTAL,225402,8583,12156,7334,6868,7901,268244,120791,389035
%,57.94,2.21,3.12,1.89,1.77,2.03,68.95,31.05,100
