46,Patal,2681,2860,3050,4082,3045,2582,2702,1144,3171,3500,2619,2597,3002
47,Lemonade (Kharai),2366,3231,2929,3845,2828,2844,3505,2914,3817,-,2779,4296,3062
48,Dhundul,2487,2532,2603,3088,2779,3196,2746,3589,3587,-,6834,2494,2981
49,Mukhi Kachu,4625,4565,4783,5425,5060,4620,3425,4250,-,-,3182,5690,4943
50,Geen Papya,2617,2262,1917,1888,1754,1788,3583,2125,2155,2257,3480,3154,2257
51,Kachur Lati,3831,3798,3922,4297,3994,3706,1991,4369,4401,3691,-,3588,3915
52,Motor Shuti,-,-,-,-,3200,9350,3896,5723,5707,8667,9342,-,6951
53,Read Amaranth,2066,2148,2347,2623,2103,1812,9058,1805,1742,1728,1917,2010,2012
54,Spinach,1925,2600,1675,3197,2355,1880,1846,1746,1658,1783,7294,2390,2530
55,Indian Spinach,1529,1675,1655,1875,1780,1641,1940,1773,1683,,,1633,1709
56,Radish Greens,-,2100,2032,2673,1864,1410,1222,1044,1127,1658,1666,-,1632
57,Sweet Potato,2038,2500,2683,2900,3000,3133,3397,2793,2483,1213,-,2659,2718
58,"Green Banana (80
Piece)",402,411,407,432,471,388,413,424,424,2525,2499,450,425
59,"Pani Kachu (100
Pieces)",2808,2883,2801,2748,3399,3517,-,-,-,446,437,2849,2997
60,"Ash Gourd (100
pieces)",2327,2464,2555,2881,2898,4363,3278,3008,3079,-,2974,2307,2842
61,Gourd (100 pieces),2573,2643,2623,3248,2837,3200,3668,3509,2516,2645,2299,2754,2867
62,Hen Local,47602,45542,43782,43426,42878,43493,41844,44373,46619,2286,2552,49818,45726
63,Farm Broiler,15389,16017,15681,16111,15561,15620,17011,17501,18018,49159,50183,1625,16796
64,Duck,40728,36678,39610,39416,42035,44262,39722,40545,41991,19405,18416,41634,41079
65,"Egg-Hen-Local (100
pieces)",1427,1554,1475,1486,1637,1490,1749,1513,2931,42774,43553,1557,1658
66,"Egg-Hen Farm-Red
(100 pieces",1058,1168,1142,1146,1045,1027,2160,1055,963,1521,1540,1148,1159
67,"Egg-Hen Farm-White
(100 pieces",1077,1166,1134,1143,1039,997,984,1006,947,936,1060,1550,1084
68,"Egg-Duck (100
pieces)",1392,1432,1488,1519,1494,1496,2167,1552,1474,917,1047,1494,1532
69,"Fruite-Orange (100
pieces)",-,-,-,2875,1390,2750,8667,8683,7019,1435,1442,22500,7982
