District/ Division,None,2022-23,None_1,None_2,None_3,None_4,2023-24,None_5,None_6,None_7,None_8
None,None,Area,None,Yield Rate,None,"Producti
on",Area,None,Yield Rate,None,"Producti
on"
,None,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
1,Barguna,1099,445,16.8,1.550,689,960,389,17.50,1.614,627
2,Barishal,13842,5602,16.5,1.522,8525,7109,2877,17.30,1.596,4591
3,Bhola,32770,13262,15.60,1.439,19082,7759,3140,17.50,1.614,5068
4,Jhallokati,2852,1154,17.60,1.623,1874,3369,1363,18.10,1.669,2276
5,Patuakhali,11266,4559,14.70,1.356,6182,9671,3914,18.20,1.679,6570
6,Pirojpur,5253,2126,16.22,1.496,3180,4864,1968,18.30,1.688,3323
Barishal Division,None,67082,27148,15.79,1.456,39533,33732,13651,17.83,1.645,22455
7,Bandarban,21469,8688,18.60,1.716,14906,20134,8148,17.33,1.598,13024
8,Brahmanbaria,14,6,15.85,1.462,8,0,0,0.00,0.000,0
9,Chandpur,745,301,15.53,1.432,432,1465,593,16.10,1.485,880
10,Chattogram,20634,8350,16.20,1.494,12477,19716,7979,17.50,1.614,12879
11,Cumilla,3167,1282,13.63,1.257,1611,0,0,0.00,0.000,0
12,Cox’s Bazar,170,69,13.50,1.245,86,159,64,15.73,1.451,93
13,Feni,5910,2392,13.51,1.246,2980,2754,1115,14.75,1.360,1516
14,Khagrachari,3871,1567,14.08,1.299,2034,3606,1459,15.07,1.390,2028
15,Lakshmipur,1821,737,15.07,1.390,1024,1600,648,17.29,1.595,1033
16,Noakhali,8375,3389,15.00,1.384,4689,11245,4551,14.00,1.291,5876
17,Rangamati,11887,4811,16.20,1.494,7188,11153,4514,16.53,1.525,6882
"Chattogram
Division",None,78063,31592,16.28,1.502,47437,71832,29070,16.49,1.521,44213
18,Dhaka,207,84,17.90,1.651,138,50,20,14.10,1.301,26
19,Faridpur,8401,3400,13.78,1.271,4321,7890,3193,13.21,1.218,3891
20,Gazipur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
21,Gopalganj,1651,668,13.60,1.254,838,891,361,15.41,1.421,513
22,Kishoreganj,89,36,16.64,1.535,55,24,10,19.01,1.753,17
23,Madaripur,840,340,14.82,1.367,465,502,203,13.20,1.218,247
24,Manikganj,946,383,13.24,1.221,468,957,387,10.34,0.954,369
25,Munshiganj,0,0,0.00,0.000,0,0,0,0.00,0.000,0
26,Narayanganj,0,0,0.00,0.000,0,0,0,0.00,0.000,0
27,Narsingdi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
28,Rajbari,2659,1076,13.45,1.241,1335,2495,1010,16.37,1.510,1525
29,Shariatpur,2005,811,15.20,1.402,1138,6894,2790,17.04,1.572,4385
30,Tangail,1705,690,13.77,1.270,876,1573,637,12.98,1.197,762
Dhaka Division,None,18503,7488,13.95,1.287,9634,21276,8610,14.78,1.363,11735
31,Bagerhat,240,97,13.33,1.230,119,223,90,14.22,1.312,118
32,Chuadanga,0,0,0.00,0.000,0,0,0,0.00,0.000,0
33,Jashore,0,0,0.00,0.000,0,0,0,0.00,0.000,0
34,Jhenaidah,0,0,0.00,0.000,0,0,0,0.00,0.000,0
35,Khulna,6500,2631,14.50,1.337,3518,7943,3214,14.36,1.325,4258
36,Kushtia,968,392,12.73,1.174,460,815,330,11.95,1.102,364
37,Magura,437,177,13.97,1.289,228,639,259,14.50,1.337,346
38,Meherpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
39,Narail,9650,3905,16.05,1.480,5781,10412,4214,17.00,1.568,6607
40,Satkhira,0,0,0.00,0.000,0,0,0,0.00,0.000,0
None,None,Area,None,Yield Rate,None,"Producti
on",Area,None,Yield Rate,None,"Producti
on"
,None,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
Khulna Division,None,17795,7202,15.22,1.403,10107,20032,8107,15.64,1.442,11692
41,Jamalpur,181,73,16.64,1.535,112,131,53,16.73,1.543,82
42,Mymensingh,0,0,0.00,0.000,0,0,0,0.00,0.000,0
43,Netrokona,26,11,17.19,1.586,17,9,4,15.25,1.407,5
44,Sherpur,25,10,8.96,0.826,8,14,6,16.71,1.541,9
"Mymensingh
Division",None,232,94,15.87,1.464,137,154,62,18.51,1.535,96
45,Bogura,0,0,0.00,0.000,0,0,0,0.00,0.000,0
46,Joypurhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
47,Naogaon,0,0,0.00,0.000,0,0,0,0.00,0.000,0
48,Natore,172,69,14.15,1.305,91,480,194,15.53,1.432,278
49,"Chapai
Nawabganj",4698,1901,14.04,1.295,2462,5301,2145,15.25,1.407,3018
50,Pabna,13568,5491,12.31,1.135,6234,5807,2350,14.25,1.314,3089
