District/ Division,None,2022-23,None_1,None_2,None_3,None_4,None_5,None_6,2023-24,None_7,None_8,None_9,None_10,None_11,None_12
None,None,Area,None,None,None,Yield Rate,None,"Productio
n",Area,None,None,None,Yield Rate,None,"Productio
n"
None,None,Acres,None,None,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,None,None,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
41,Jamalpur,8851,None,None,3582,24.50,2.260,8094,9030,None,None,3654,33.40,3.0 81,11258
42,Mymensingh,46783,None,None,18933,30.10,2.776,52563,43874,None,None,17756,31.50,2.905,51588
43,Netrokona,670,None,None,271,28.60,2.638,715,1144,None,None,463,30.84,2.845,1317
44,Sherpur,8827,None,None,3572,28.40,2.619,9357,7082,None,None,2866,30.10,2.776,7957
"Mymensingh
Division",None,65131,None,None,26358,29.09,2.683,70730,61130,None,None,24739,31.61,2.915,72120
45,Bogura,38964,None,None,15769,30.20,2.786,43924,29451,None,None,11919,33.29,3.071,36597
46,Joypurhat,540,None,None,219,29.60,2.730,597,491,None,None,199,30.11,2.777,552
47,Naogaon,,136971,,55431,33.20,3.062,169744,,141502,,57265,33.00,3.044,174303
48,Natore,22853,None,None,9248,30.20,2.786,25762,24832,None,None,10049,33.01,3.045,30597
49,"Chapai
Nawabganj",98370,None,None,39810,34.67,3.198,127305,94720,None,None,38333,34.00,3.136,120212
50,Pabna,37014,None,None,14979,28.50,2.629,39377,49791,None,None,20150,29.25,2.698,54363
51,Rajshahi,112341,None,None,45464,35.38,3.263,148362,102758,None,None,41586,36.23,3.342,138967
52,Sirajganj,9650,None,None,3905,29.30,2.703,10554,9554,None,None,3866,31.78,2.931,11334
Rajshahi Division,None,456703,None,None,184825,33.18,3.060,565624,453099,None,None,183367,33.52,3.092,566924
53,Dinajpur,25595,None,None,10358,30.00,2.767,28662,23917,None,None,9679,32.35,2.984,28881
54,Gaibandha,32762,None,None,13259,30.10,2.776,36810,34045,None,None,13778,31.72,2.926,40310
55,Kurigram,14031,None,None,5678,30.30,2.795,15869,12641,None,None,5116,31.50,2.905,14863
56,Lalmonirhat,28162,None,None,11397,32.00,2.952,33639,20260,None,None,8199,34.20,3.154,25864
57,Nilphamari,3916,None,None,1585,31.20,2.878,4561,3482,None,None,1409,32.97,3.041,4285
58,Panchagar,6010,None,None,2432,30.16,2.782,6766,4833,None,None,1956,31.50,2.905,5683
59,Rangpur,57276,None,None,23179,31.82,2.935,68030,44555,None,None,18031,32.61,3.008,54234
60,Thakurgaon,50276,None,None,20346,31.37,2.893,58871,40000,None,None,16188,33.87,3.124,50571
Rangpur Divison,None,218028,None,None,88235,31.11,2.870,253208,183733,None,None,74356,32.76,3.022,224692
61,Habiganj,107483,None,None,43498,29.10,2.684,116751,88636,None,None,35870,31.25,2.882,103392
62,Moulvibazar,103293,None,None,41802,32.24,2.974,124306,52669,None,None,21315,32.85,3.030,64583
63,Sunamganj,34328,None,None,13892,32.20,2.970,41260,31825,None,None,12879,34.96,3.225,41530
64,Sylhet,61913,None,None,25056,32.10,2.961,74185,59825,None,None,24211,34.50,3.182,77042
Sylhet Division,None,307017,None,None,124248,31.11,2.869,356502,232955,None,None,94276,32.95,3.039,286548
Bangladesh,None,2412484,None,None,976319,30.86,2.846,2779007,2258358,None,None,913945,31.70,2.924,2672609
