District/ Division,None,2022-23,None_1,None_2,None_3,None_4,None_5,None_6,2023-24,None_7,None_8,None_9,None_10,None_11,None_12
None,None,Area,None,None,None,Yield Rate,None,"Producti
on",Area,None,None,None,Yield Rate,None,"Productio
n"
None,None,Acres,None,None,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,None,None,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None
42,Mymensingh,,None,None,,,,,0,None,None,0,0.00,0.000,0
43,Netrokona,,None,None,,,,,44,None,None,18,46.84,4.320,77
44,Sherpur,,None,None,,,,,57,None,None,23,36.25,3.120,77
"Mymensingh
Division",None,0,None,None,0,0.00,0.000,0,368,None,None,149,39.37,3.631,541
45,Bogura,,None,None,,,,,2706,None,None,1095,43.25,3.560,4369
46,Joypurhat,,None,None,,,,,57,None,None,23,40.10,3.000,85
47,Naogaon,,,,,,,,,1093,,442,45.19,4.168,1844
48,Natore,,None,None,,,,,79,None,None,32,42.82,3.950,126
49,"Chapai
Nawabganj",,None,None,,,,,457,None,None,185,41.74,3.850,712
50,Pabna,,None,None,,,,,0,None,None,0,0.00,0.000,0
51,Rajshahi,,None,None,,,,,7095,None,None,2871,41.42,3.820,10969
52,Sirajganj,,None,None,,,,,0,None,None,0,0.00,0.000,0
Rajshahi Division,None,0,None,None,0,0.00,0.000,0,11487,None,None,4649,42.23,3.895,18105
53,Dinajpur,,None,None,,,,,1816,None,None,735,39.57,3.650,2682
54,Gaibandha,,None,None,,,,,976,None,None,395,39.28,3.360,1431
55,Kurigram,,None,None,,,,,4378,None,None,1772,39.50,3.450,6455
56,Lalmonirhat,,None,None,,,,,8266,None,None,3345,39.79,3.670,12277
57,Nilphamari,,None,None,,,,,1025,None,None,415,39.25,3.620,1502
58,Panchagar,,None,None,,,,,1865,None,None,755,39.90,3.680,2777
59,Rangpur,,None,None,,,,,17467,None,None,7069,39.90,3.680,26013
60,Thakurgaon,,None,None,,,,,7376,None,None,2985,41.74,3.850,11492
Rangpur Divison,None,0,None,None,0,0.00,0.000,0,43169,None,None,17470,40.11,3.699,64630
61,Habiganj,,None,None,,,,,0,None,None,0,0,0.000,0
62,Moulvibazar,,None,None,,,,,161,None,None,65,39.25,3.620,236
63,Sunamganj,,None,None,,,,,0,None,None,0,0.00,0.000,0
64,Sylhet,,None,None,,,,,79,None,None,32,39.4,3.080,116
Sylhet Division,None,0,None,None,0,0.00,0.000,0,240,None,None,97,39.30,3.625,352
Bangladesh,None,,None,None,0.00,0.00,0.00,0.00,130496,None,None,52811,40.50,3.736,197283
