ila/Division,,2014-15,,2015-16,,2016-17,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0
4,Khulna,1686,2619,1001,1461,779,1276
41,Jamalpur,0,0,0,0,0,0
42,Mymensing,0,0,0,0,0,0
43,Netrakona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensing,0,0,0,0,0,0
45,Bogura,3446,7857,2990,6924,2608,5994
46,Joypurhat,369,841,177,169,189,180
47,Naogaon,1543,3471,1571,2272,1825,4170
48,Natore,354,719,335,691,722,1078
49,Chapai Nawabganj,1745,2309,1621,2286,1590,2415
50,Pabna,24,46,49,97,56,110
51,Rajshahi,24769,52982,21653,38894,20629,46679
52,Sirajganj,329,759,90,204,85,202
6,Rajshahi,32579,68984,28486,51537,27704,60828
53,Dinajpur,11323,29531,12025,29860,17194,45669
54,Gaibandha,147,269,72,112,452,1397
55,Kurigram,1093,2804,744,2035,744,2110
56,Lalmonirhat,10930,29218,10374,23632,10948,25043
57,Nilphamari,6035,15033,5950,12602,5751,11959
58,Panchagarh,4502,6333,2094,5812,2003,5787
59,Rangpur,18306,41618,16688,40382,19812,50671
60,Thakurgaon,21078,49597,30572,75938,40041,95121
7,Rangpur,73414,174403,78519,190373,96945,237757
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0
,BANGLADESH,141941,310471,128659,284230,146014,338560
