Zila/Division,,2014-15,,2015-16,,2016-17,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,62,20,60,22,55,20
2,Barishal,410,82,366,69,375,84
3,Bhola,1205,248,2639,1631,2592,1630
4,Jhallokati,60,30,60,24,0,0
5,Patuakhali,193,41,200,50,183,43
6,Pirojpur,0,0,0,0,0,0
1,Barishal,1930,421,3325,1796,3205,1777
7,Bandarban,74,56,123,70,101,58
8,Brahmanbaria,51,25,43,22,20,9
9,Chandpur,11,2,0,0,0,0
10,Chittagang,4160,4788,6920,4979,6970,5045
11,Cumilla,8,1,10,2,2,1
12,Cox's Bazar,496,318,543,350,549,353
13,Feni,206,107,219,118,0,0
14,Khagrachhari,67,19,76,21,80,22
15,Laksmipur,1388,308,1357,327,1290,308
16,Noakhali,4296,1485,4276,1456,7214,2196
17,Rangamati,189,119,100,74,324,181
2,Chittagang,10976,7228,13667,7401,16550,8173
18,Dhaka,8,4,9,4,10,4
19,Faridpur,43,14,25,8,20,8
20,Gazipur,60,25,93,27,0,0
21,Gopalganj,0,0,0,0,0,0
22,Kishorganj,0,0,10,2,8,2
23,Madaripur,14,4,0,0,0,0
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,6,4,0,0,0,0
28,Rajbari,72,22,72,21,72,22
29,Shariatpur,17,2,0,0,0,0
30,Tangail,5,2,6,2,5,2
3,Dhaka,225,77,215,64,115,38
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,812,321,412,171,412,149
33,Jashore,649,288,633,287,659,283
34,Jhenaidah,1834,855,3116,1126,1450,448
35,Khulna,32,11,30,10,27,9
36,Kushtia,369,116,321,102,318,103
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,25,8,178,78,200,84
38,Meherpur,137,56,96,35,79,32
39,Narail,79,44,104,38,90,32
40,Satkhira,50,13,42,11,22,6
4,Khulna,4257,1712,4932,1858,3257,1146
41,Jamalpur,0,0,0,0,0,0
42,Mymensing,0,0,0,0,0,0
43,Netrakona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensing,0,0,0,0,0,0
45,Bogura,44,14,39,11,26,8
46,Joypurhat,27,8,28,7,26,7
47,Naogaon,11,4,0,0,0,0
48,Natore,39,16,5,1,15,13
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0
52,Sirajganj,5,2,0,0,0,0
6,Rajshahi,126,44,72,19,67,28
53,Dinajpur,7,2,6,2,7,2.18
54,Gaibandha,22,6,0,0,8,2
55,Kurigram,56,23,45,20,70,26
56,Lalmonirhat,18,7,18,7,20,8
57,Nilphamari,76,34,48,22,48,24
58,Panchagarh,0,0,0,0,0,0
59,Rangpur,0,0,0,0,0,0
60,Thakurgaon,0,0,5,1,0,0
7,Rangpur,179,72,122,52,153,62.18
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0
,BANGLADESH,17693,9554,22333,11190,23347,11224.18
