Zila/Division,,2014-15,,2015-16,,2016-17,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,177,227,175,168,182,120
2,Barishal,42,30,29,22,30,24
3,Bhola,3334,3158,3467,2689,5606,4100
4,Jhallokati,17,5,17,5,39,18
5,Patuakhali,890,249,1187,474,1198,489
6,Pirojpur,9,5,10,6,12,8
1,Barishal,4469,3674,4885,3364,7067,4759
7,Bandarban,171,114,177,118,182,120
8,Brahmanbaria,171,115,336,204,319,198
9,Chandpur,264,526,278,154,264,154
10,Chittagang,1589,1369,1608,1386,2136,1908
11,Cumilla,624,630,576,560,530,531
12,Cox's Bazar,1004,1129,1054,1213,1065,1243
13,Feni,782,533,798,545,596,411
14,Khagrachhari,96,112,101,117,108,120
15,Laksmipur,6414,3047,6416,3111,6269,3084
16,Noakhali,6753,3304,6778,3284,9372,4394
17,Rangamati,64,31,67,34,77,46
2,Chittagang,17932,10910,18189,10726,20918,12209
18,Dhaka,660,396,726,441,541,327
19,Faridpur,5566,6262,5509,6182,5316,5883
20,Gazipur,305,130,263,124,190,122
21,Gopalganj,2032,1857,1811,1708,2009,1762
22,Kishorganj,2141,1470,2099,1807,2045,1776
23,Madaripur,492,332,466,294,480,327
24,Manikganj,1562,965,3557,2088,2468,1405
25,Munshiganj,199,148,199,153,189,113
26,Narayanganj,571,351,542,328,529,301
27,Narsingdi,689,348,690,355,680,350
28,Rajbari,437,561,910,916,886,876
29,Shariatpur,745,2418,741,905,661,661
30,Tangail,3145,1741,3203,1799,3226,1812
3,Dhaka,18544,16979,20716,17100,19220,15715
31,Bagerhat,31,15,39,25,47,30
32,Chuadanga,65,47,132,95,146,96
33,Jashore,16,8,17,8,17,9
34,Jhenaidah,705,845,714,846,715,851
35,Khulna,28,14,0,0,0,0
36,Kushtia,594,358,610,363,601,364
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,21,24,73,144,80,139
38,Meherpur,26,27,0,0,5,2
39,Narail,1081,1074,1125,1085,1133,1101
40,Satkhira,0,0,0,0,0,0
4,Khulna,2567,2412,2710,2566,2744,2592
41,Jamalpur,1362,1305,1387,1314,133,1321
42,Mymensing,923,571,833,474,835,503
43,Netrakona,193,188,161,166,173,178
44,Sherpur,109,99,116,106,105,116
5,Mymensing,2587,2163,2497,2060,1246,2118
45,Bogura,1600,919,1596,851,1484,796
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,27,15,49,29,185,127
48,Natore,1192,613,1199,626,1216,642
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,1198,883,1207,988,1453,1202
51,Rajshahi,210,186,188,152,217,176
52,Sirajganj,1550,1061,1558,983,2285,1539
6,Rajshahi,5777,2758,5797,3629,6840,4482
53,Dinajpur,37,18,98,52,81,46
54,Gaibandha,1201,990,1273,1085,1299,1270
55,Kurigram,2997,1559,3335,1847,3406,2158
56,Lalmonirhat,1679,1249,2891,2383,2853,2447
57,Nilphamari,202,101,294,155,312,166
58,Panchagarh,17451,11809,22403,15172,22088,15036
59,Rangpur,174,126,229,150,214,143
60,Thakurgaon,138,87,132,84,137,79
7,Rangpur,23879,15939,30655,20928,30390,21345
61,Habiganj,216,79,216,80,212,656
62,Maulvibazar,23,11,25,12,27,481
63,Sunamganj,2434,1757,2524,1774,2492,859
64,Sylhet,36,31,31,25,32,844
8,Sylhet,2709,1878,2796,1891,2763,2840
,BANGLADESH,78464,56713,88245,62264,91188,66060
