Zila/Division,,"Area Under Garden
(Acres)",,,,,"Production of Inside
Garden",,,,"Production of Outside
Garden",,,,,"Total Production of
Inside & Outside Garden
(M.Tons )",,,,
,,2014-15,,2015-16,,2016-17,2014-15,2015-16,2016-17,,2014-15,2015-16,,2016-17,,2014-15,,2015-16,,2016-17
1,Barguna,,39,0,0,,709,0,0,4851,,7442,9636,,5560,,7442,,9636,
2,Barishal,,199,195,231,,733,713,599,13621,,13341,11461,,14354,,14054,,12060,
3,Bhola,,0,40,40,,-,146,136,25557,,20248,18632,,25557,,20394,,18768,
4,Jhallokati,,0,0,0,,0,0,0,5967,,6264,6320,,5967,,6264,,6320,
5,Patuakhali,,0,0,0,,0,0,0,14662,,7592,14318,,14662,,7592,,14318,
6,Pirojpur,,22,114,228,,137,893,2318,15491,,17864,21096,,15628,,18757,,23414,
1,Barishal,,260,349,499,,1579,1752,3053,80149,,72751,81463,,81728,,74503,,84516,
7,Bandarban,,162,82,75,,401,398,462,650,,656,622,,1051,,1054,,1084,
8,Brahmanbaria,,0,0,0,,0,0,0,11037,,5055,5604,,11037,,5055,,5604,
9,Chandpur,,0,0,0,,0,0,0,8993,,8293,8297,,8993,,8293,,8297,
10,Chittagang,,198,199,199,,790,670,836,5735,,4666,6019,,6525,,5336,,6855,
11,Cumilla,,18,18,0,,157,435,0,9932,,9751,10362,,10089,,10186,,10362,
12,Cox's Bazar,,302,661,698,,2675,2814,3259,7303,,7461,7359,,9978,,10275,,10618,
13,Feni,,0,10,10,,0,53,50,3117,,2648,2476,,3117,,2701,,2526,
14,Khagrachhari,,17,17,17,,29,30,28,706,,742,722,,735,,772,,750,
15,Laksmipur,,660,652,0,,1760,1738,0,11192,,11299,13060,,12952,,13037,,13060,
16,Noakhali,,0,0,0,,0,0,0,9575,,8922,23443,,9575,,8922,,23443,
17,Rangamati,,252,245,245,,2630,2078,2049,2351,,2205,2251,,4981,,4283,,4300,
2,Chittagang,,1609,1884,1244,,8442,8216,6684,70591,,61698,80215,,79033,,69914,,86899,
18,Dhaka,,29,29,29,,194,221,221,2559,,2629,2671,,2753,,2850,,2892,
19,Faridpur,,37,33,37,,235,220,216,4510,,4420,4324,,4745,,4640,,4540,
20,Gazipur,,45,18,18,,367,169,172,2856,,2793,2821,,3223,,2962,,2993,
21,Gopalganj,,140,19,19,,710,214,214,2752,,2855,2855,,3462,,3069,,3069,
22,Kishorganj,,25,25,25,,244,242,280,4551,,4769,5309,,4795,,5011,,5589,
23,Madaripur,,0,0,0,,0,0,0,6485,,6322,6334,,6485,,6322,,6334,
24,Manikganj,,4,5,5,,66,72,80,4718,,4967,5563,,4784,,5039,,5643,
25,Munshiganj,,0,0,0,,0,0,0,1276,,791,1265,,1276,,791,,1265,
26,Narayanganj,,6,6,6,,39,38,37,1103,,1332,1231,,1142,,1370,,1268,
27,Narsingdi,,0,0,0,,0,0,0,1545,,1918,2487,,1545,,1918,,2487,
28,Rajbari,,93,81,169,,3080,3172,4532,2869,,3038,4216,,5949,,6210,,8748,
29,Shariatpur,,0,0,0,,0,0,0,7739,,7694,7005,,7739,,7694,,7005,
30,Tangail,,14,14,14,,100,103,117,3707,,3862,4337,,3807,,3965,,4454,
3,Dhaka,,393,230,322,,5035,4451,5869,46670,,47390,50418,,51705,,51841,,56287,
31,Bagerhat,,0,335,5343,,5670,5503,5324,16603,,16603,16067,,22273,,22106,,21391,
32,Chuadanga,,127,781,112,,342,381,538,371,,917,898,,713,,1298,,1436,
33,Jashore,,420,420,509,,3830,3920,3752,9101,,8899,8313,,12931,,12819,,12065,
34,Jhenaidah,,0,70,64,,2174,444,331,9904,,12977,11261,,12078,,13421,,11592,
35,Khulna,,670,684,655,,1338,1150,1063,7140,,7075,7629,,8478,,8225,,8692,
36,Kushtia,,4562,62,62,,2453,616,508,11669,,12786,13955,,14122,,13402,,14463,
