Zila/Division,,2014-15,,2015-16,,2016-17,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,108,127,108,124,106,124
2,Barishal,514,458,553,541,408,505
3,Bhola,1606,2855,1789,3209,1421,2560
4,Jhallokati,72,82,70,96,83,127
5,Patuakhali,111,89,105,89,106,82
6,Pirojpur,39,43,44,53,53,65
1,Barishal,2450,3654,2669,4112,2177,3463
7,Bandarban,118,173,118,175,117,174
8,Brahmanbaria,1494,3122,1415,2918,1318,2698
9,Chandpur,2099,5216,1724,4318,1692,3609
10,Chittagang,154,216,162,235,167,241
11,Cumilla,677,1888,616,1767,504,1465
12,Cox's Bazar,161,221,171,289,87,141
13,Feni,31,25,32,25,29,22
14,Khagrachhari,54,94,55,82,44,71
15,Laksmipur,516,908,463,795,434,788
16,Noakhali,403,610,389,579,398,593
17,Rangamati,96,170,98,171,100,175
2,Chittagang,5803,12643,5243,11354,4890,9977
18,Dhaka,1287,6355,1306,6446,1266,6405
19,Faridpur,78908,376651,72721,290417,81970,385669
20,Gazipur,400,734,401,754,409,782
21,Gopalganj,4472,14238,5057,14723,5068,14808
22,Kishorganj,1294,4015,1278,3995,1282,4031
23,Madaripur,5310,23534,9214,42977,9606,51830
24,Manikganj,16425,43187,18066,48146,17808,48103
25,Munshiganj,332,645,507,938,526,953
26,Narayanganj,618,1413,652,1373,655,1410
27,Narsingdi,396,749,383,702,375,661
28,Rajbari,49625,184950,53325,227368,64638,169417
29,Shariatpur,6176,19880,6180,19488,6141,23576
30,Tangail,1970,4020,1852,4013,2006,4177
3,Dhaka,167213,680371,170942,661340,191750,711822
31,Bagerhat,322,677,333,717,346,755
32,Chuadanga,1832,10320,1588,9030,1564,8765
33,Jashore,3160,13082,3230,13307,3248,13475
34,Jhenaidah,13021,50982,13021,53701,16236,84176
35,Khulna,368,886,318,672,336,656
36,Kushtia,21714,90562,25376,109645,25726,127547
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,12109,53556,13656,54327,13897,55454
38,Meherpur,4115,45913,7420,68720,7265,73473
39,Narail,1589,4765,1610,4907,1552,4680
40,Satkhira,1014,3319,1078,3501,1036,3335
4,Khulna,59244,274062,67630,318527,71206,372316
41,Jamalpur,4008,10871,3900,10721,3886,10667
42,Mymensing,1646,4358,1508,4012,1517,3963
43,Netrakona,707,1887,770,2006,783,2074
44,Sherpur,1106,3192,1173,3378,1197,3426
5,Mymensing,7467,20308,7351,20117,7383,20130
45,Bogura,5186,13023,4630,11167,4548,10350
46,Joypurhat,2066,5847,1913,5483,1848,5331
47,Naogaon,8678,33404,7767,28647,7016,26430
48,Natore,6619,18560,6582,18835,5493,18192
49,Chapai Nawabganj,6487,21210,6637,24153,6438,23558
50,Pabna,98613,400284,105980,415372,104916,431091
51,Rajshahi,25393,147367,27216,142095,27571,160873
52,Sirajganj,1788,4203,1675,3975,1492,4125
6,Rajshahi,154830,643898,162400,649727,159322,679950
53,Dinajpur,5692,18617,6129,20904,5655,18931
54,Gaibandha,2232,6782,2251,6487,2622,6292
55,Kurigram,1598,3711,1410,3197,1420,3323
56,Lalmonirhat,1206,3736,1152,3642,1180,3730
57,Nilphamari,2397,9368,2152,7925,2184,8024
58,Panchagarh,3001,9594,3005,9816,3018,9857
59,Rangpur,4385,14294,4489,14690,4529,14952
60,Thakurgaon,997,1869,880,1988,881,1985
7,Rangpur,21508,67971,21468,68649,21489,67094
61,Habiganj,229,616,223,619,221,629
62,Maulvibazar,79,157,79,157,79,160
63,Sunamganj,212,615,263,623,317,811
64,Sylhet,87,107,138,109,135,150
8,Sylhet,607,1495,703,1508,752,1750
,BANGLADESH,419122,1704402,438406,1735334,458969,1866502
