Name of Crops,2014-15,,2015-16,,2016-17,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
1,2,3,4,5,6,7
Sugarcane,257532,4434070,242943,4207592,227389,3862775
Date-Palm(Juice),1805,198328,1769,179777,5132,169056
Date-Plam(Fruits),1027,40099,853,39219,311,38939
Ripe Plamyra (Tal),263,153957,123,150757,98,161104
"Green Palmyra
(Taler sas)",131,58869,64,66014,396,71119
Palmyra (Juice),349,102610,103,92317,196,89721
Total-,261107,4987933,245855,4676266,233522,4392714
