Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,0,0,0,0,0,0,24499,24499,8433,24499,24499,8433
2,Barishal,0,0,0,0,0,0,6453,7101,7300,6453,7101,7300
3,Bhola,0,0,0,0,0,0,2738,4569,1647,2738,4569,1647
4,Jhallokati,0,0,0,0,0,0,4750,4852,4699,4750,4852,4699
5,Patuakhali,0,0,0,0,0,0,2309,3555,3365,2309,3555,3365
6,Pirojpur,0,0,0,0,0,0,5800,3520,5349,5800,3520,5349
1,Barishal,0,0,0,0,0,0,30299,28019,30793,30299,28019,30793
7,Bandarban,0,0,0,0,0,0,56,51,52,56,51,52
8,Brahmanbaria,0,0,0,0,0,0,375,462,474,375,462,474
9,Chandpur,0,0,0,0,0,0,5283,5281,5281,5283,5281,5281
10,Chittagang,150,0,0,-,0,0,3251,3854,4007,3251,3854,4007
11,Cumilla,0,0,0,0,0,0,4839,7519,6864,4839,7519,6864
12,Cox's Bazar,0,0,0,0,15,50,379,333,328,379,348,378
13,Feni,0,0,0,0,0,0,1580,1688,1470,1580,1688,1470
14,Khagrachhari,0,0,0,0,0,0,73,97,92,73,97,92
15,Laksmipur,0,0,0,0,0,0,2669,531,3304,2669,531,3304
16,Noakhali,0,0,0,0,0,0,7352,6648,13125,7352,6648,13125
17,Rangamati,1,1,1,-,8,8,271,251,172,271,259,180
2,Chittagang,151,5,4,-,23,58,26128,26715,35169,26128,26738,35227
18,Dhaka,-,0,0,-,0,0,927,886,839,927,886,839
19,Faridpur,22,22,22,595,588,588,8608,8378,8171,9203,8966,8759
20,Gazipur,8,8,8,126,286,134,2154,4497,2144,2280,4783,2278
21,Gopalganj,22,22,15,215,212,242,3574,3462,3425,3789,3674,3667
22,Kishorganj,0,0,0,-,0,0,402,410,406,402,410,406
23,Madaripur,0,0,0,291,0,0,9370,10251,9072,9661,10251,9072
24,Manikganj,0,0,0,-,0,0,675,708,691,675,708,691
25,Munshiganj,0,0,0,-,0,0,202,218,269,202,218,269
26,Narayanganj,0,0,0,-,0,0,299,401,414,299,401,414
27,Narsingdi,0,0,0,-,0,0,1312,1115,1268,1312,1115,1268
28,Rajbari,0,0,0,-,0,0,2183,2373,2336,2183,2373,2336
29,Shariatpur,0,15,0,-,656,0,739,3159,644,739,3815,644
30,Tangail,6,3,3,59,61,60,1879,1859,1865,1938,1920,1925
3,Dhaka,58,70,48,1286,1803,1024,39206,44021,31544,40492,45824,32568
31,Bagerhat,-,7,7,-,119,0,3132,2789,3558,3132,2908,3558
32,Chuadanga,1,1,0,5,6,0,318,359,347,323,365,347
33,Jashore,10,10,10,110,113,110,2486,2718,2707,2596,2831,2817
34,Jhenaidah,0,0,0,0,0,0,1991,2280,2145,1991,2280,2145
35,Khulna,-,0,0,-,0,0,1453,1520,1552,1453,1520,1552
36,Kushtia,20,20,20,110,110,103,1739,1679,1662,1849,1789,1765
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,0,0,0,0,0,0,3068,2781,2955,3068,2781,2955
38,Meherpur,0,0,0,0,0,0,187,225,217,187,225,217
39,Narail,0,0,0,0,0,0,1381,1433,1520,1381,1433,1520
40,Satkhira,11,8,7,-,70,48,2069,2270,1647,2069,2340,1695
4,Khulna,42,46,44,225,418,261,17824,18054,18310,18049,18472,18571
41,Jamalpur,0,0,0,0,0,0,469,451,334,469,451,334
42,Mymensing,0,0,0,0,0,0,5410,4870,4518,5410,4870,4518
43,Netrakona,0,0,0,0,0,0,503,534,691,503,534,691
44,Sherpur,0,0,0,0,0,0,500,449,511,500,449,511
5,Mymensing,0,0,0,0,0,0,6882,6304,6054,6882,6304,6054
45,Bogura,-,0,0,-,0,0,8904,8228,8931,8904,8228,8931
46,Joypurhat,3,2,2,167,0,119,659,599,496,826,599,615
47,Naogaon,0,0,0,0,0,0,5783,5493,5293,5783,5493,5293
48,Natore,0,0,0,0,0,0,8562,8296,8451,8562,8296,8451
49,Chapai Nawabganj,0,0,0,0,0,0,889,825,853,889,825,853
50,Pabna,0,0,0,0,0,0,2487,2340,2484,2487,2340,2484
51,Rajshahi,7,0,0,20,0,0,6662,722,5899,6682,722,5899
52,Sirajganj,-,0,0,-,0,0,2230,2246,2218,2230,2246,2218
6,Rajshahi,10,2,2,187,0,119,36176,28749,34625,36363,28749,34744
53,Dinajpur,0.5,0,0,17,0,0,782,826,567,799,826,567
54,Gaibandha,0,0,0,0,0,0,254,283,276,254,283,276
55,Kurigram,0,0,0,0,0,0,73,76,74,73,76,74
56,Lalmonirhat,0,0,0,0,0,0,72,63,61,72,63,61
57,Nilphamari,0,0,0,0,0,0,51,64,79,51,64,79
58,Panchagarh,0,0,0,0,0,0,118,117,122,118,117,122
59,Rangpur,0,0,0,0,0,0,389,386,428,389,386,428
60,Thakurgaon,0,0,0,0,0,0,185,201,129,185,201,129
7,Rangpur,0.5,0,0,17,0,0,1924,2016,1736,1941,2016,1736
61,Habiganj,-,0,0,-,0,0,271,438,203,271,438,203
62,Maulvibazar,2,0,0,12,0,0,367,436,436,379,436,436
63,Sunamganj,0,0,0,0,0,0,-,0,683,-,0,683
64,Sylhet,0,0,0,0,0,0,35,65,89,35,65,89
8,Sylhet,2,0,0,12,0,0,673,939,1411,685,939,1411
,BANGLADESH,263,123,98,1727,2244,1462,152230,148513,159642,153957,150757,161104
