Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,0,0,0,0,0,0,45,52,52,45,52,52
2,Barishal,0,0,0,0,0,0,141,273,218,141,273,218
3,Bhola,0,0,0,0,0,0,92,366,390,92,366,390
4,Jhallokati,0,0,0,0,0,0,20,25,27,20,25,27
5,Patuakhali,0,0,0,0,0,0,132,144,146,132,144,146
6,Pirojpur,0,0,0,0,0,0,38,42,42,38,42,42
1,Barishal,0,0,0,0,0,0,468,902,875,468,902,875
7,Bandarban,4,4,4,3,3,4,60,72,68,63,75,72
8,Brahmanbaria,0,0,0,0,0,0,74,72,76,74,72,76
9,Chandpur,0,0,0,0,0,0,195,99,103,195,99,103
10,Chittagang,3,2,2,6,6,5,287,292,300,293,298,305
11,Cumilla,0,0,0,0,0,0,164,146,244,164,146,244
12,Cox's Bazar,0,0,0,0,0,0,34,38,42,34,38,42
13,Feni,0,0,0,0,0,0,67,0,65,67,0,65
14,Khagrachhari,0,0,0,0,0,0,36,4,36,36,4,36
15,Laksmipur,0,0,0,0,0,0,119,789,116,119,789,116
16,Noakhali,0,0,0,0,0,0,90,0,78,90,0,78
17,Rangamati,0,0,0,0,0,0,603,594,596,603,594,596
2,Chittagang,7,6,6,9,9,9,1729,2106,1724,1738,2115,1733
18,Dhaka,5,5,0,-,0,0,-,99,220,-,99,220
19,Faridpur,-,0,0,-,0,0,222,215,231,222,215,231
20,Gazipur,16,0,0,26,0,0,115,141,148,141,141,148
21,Gopalganj,0,0,0,0,0,0,148,340,258,148,340,258
22,Kishorganj,0,0,0,0,0,0,486,408,276,486,408,276
23,Madaripur,0,0,0,0,0,0,200,190,188,200,190,188
24,Manikganj,0,0,0,0,0,0,60,60,63,60,60,63
25,Munshiganj,0,0,0,0,0,0,31,31,34,31,31,34
26,Narayanganj,0,0,0,0,0,0,9,9,11,9,9,11
27,Narsingdi,0,0,0,0,0,0,139,220,197,139,220,197
28,Rajbari,0,0,0,0,0,0,94,94,94,94,94,94
29,Shariatpur,-,46,0,-,5,0,211,235,229,211,240,229
30,Tangail,0,0,0,0,0,0,630,500,507,630,500,507
3,Dhaka,21,51,0,26,5,0,2345,2542,2456,2371,2547,2456
31,Bagerhat,0,0,0,0,0,0,88,78,83,88,78,83
32,Chuadanga,-,0.25,0,-,0,0,321,292,289,321,292,289
33,Jashore,0,0,0,0,0,0,321,388,388,321,388,388
34,Jhenaidah,0,0,0,0,0,0,116,126,144,116,126,144
35,Khulna,0,0,0,0,0,0,90,94,42,90,94,42
36,Kushtia,0,0,0,0,0,0,152,139,152,152,139,152
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,0,0,0,0,0,0,240,229,247,240,229,247
38,Meherpur,0,0,0,0,0,0,74,85,88,74,85,88
39,Narail,0,0,0,0,0,0,289,314,359,289,314,359
40,Satkhira,0,0,0,0,0,0,70,67,90,70,67,90
4,Khulna,-,0.25,0,-,0,0,1761,1812,1882,1761,1812,1882
41,Jamalpur,0,0,0,0,0,0,464,464,471,464,464,471
42,Mymensing,0,0,0,0,0,0,460,605,552,460,605,552
43,Netrakona,0,0,0,0,0,0,244,251,258,244,251,258
44,Sherpur,0,0,0,0,0,0,318,412,0,318,412,0
5,Mymensing,0,0,0,0,0,0,1486,1732,1281,1486,1732,1281
45,Bogura,0,0,0,0,0,0,343,312,332,343,312,332
46,Joypurhat,0,0,0,0,0,0,307,238,236,307,238,236
47,Naogaon,0,0,0,0,0,0,195,206,213,195,206,213
48,Natore,0,0,0,0,0,0,289,253,264,289,253,264
49,Chapai Nawabganj,0,0,0,0,0,0,49,54,60,49,54,60
50,Pabna,0,0,0,0,0,0,323,310,684,323,310,684
51,Rajshahi,0,0,0,0,0,0,34,38,65,34,38,65
52,Sirajganj,0,0,0,0,0,0,231,262,271,231,262,271
6,Rajshahi,0,0,0,0,0,0,1771,1673,2125,1771,1673,2125
53,Dinajpur,0,0,0,0,0,0,379,350,397,379,350,397
54,Gaibandha,0,0,0,0,0,0,92,9,83,92,9,83
55,Kurigram,0,0,0,0,0,0,103,119,105,103,119,105
56,Lalmonirhat,0,0,0,0,0,0,336,330,276,336,330,276
57,Nilphamari,0,0,0,0,0,0,292,298,280,292,298,280
58,Panchagarh,0,0,0,0,0,0,72,58,60,72,58,60
59,Rangpur,0,0,0,0,0,0,20,27,31,20,27,31
60,Thakurgaon,0,0,0,0,0,0,7,1,7,7,1,7
7,Rangpur,0,0,0,0,0,0,1301,1192,1239,1301,1192,1239
61,Habiganj,0,0,0,0,0,0,-,54,54,-,54,54
62,Maulvibazar,0,0,0,0,0,0,-,0,9,-,0,9
63,Sunamganj,0,0,0,0,0,0,11,11,9,11,11,9
64,Sylhet,0,0,0,0,0,0,-,2,2,-,2,2
8,Sylhet,0,0,0,0,0,0,11,67,74,11,67,74
,BANGLADESH,28,57.25,6,35,14,9,10872,12026,11656,10907,12040,11665
