Zila/Division,,2014-15,,2015-16,,2016-17,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal,0,0,0,0,0,0
7,Bandarban,0,0,0,0,0,0
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chittagang,33,7,34,7,34,7
11,Cumilla,0,0,0,0,0,0
12,Cox's Bazar,206,123,340,326,366,388
13,Feni,0,0,0,0,0,0
14,Khagrachhari,1978,2095,2009,2110,2050,2187
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,0,0,0,0,0,0
2,Chittagang,2217,2225,2383,2443,2450,2582
18,Dhaka,0,0,0,0,0,0
19,Faridpur,0,0,55,45,70,55
20,Gazipur,0,0,0,0,0,0
21,Gopalganj,33,19,45,26,31,18
22,Kishorganj,0,0,0,0,0,0
23,Madaripur,4,2,0,0,0,0
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,2,1,0,0,3,2
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,84,67,80,66,84,74
29,Shariatpur,0,0,0,0,0,0
30,Tangail,59,22,144,40,69,29
3,Dhaka,182,111,324,177,257,178
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,0,0,0,0,0,0
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,0,0,0,0,0,0
35,Khulna,0,0,0,0,0,0
36,Kushtia,0,0,0,0,0,0
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0
4,Khulna,0,0,0,0,0,0
41,Jamalpur,0,0,0,0,12,4
42,Mymensing,0,0,0,0,0,0
43,Netrakona,14,3,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensing,14,3,0,0,12,4
45,Bogura,0,0,0,0,0,0
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0
48,Natore,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0
6,Rajshahi,0,0,0,0,0,0
53,Dinajpur,0,0,0,0,0,0
54,Gaibandha,0,0,0,0,0,0
55,Kurigram,178,78,0,0,0,0
56,Lalmonirhat,932,588,909,530,930,484
57,Nilphamari,8893,6839,8683,6733,8425,6510
58,Panchagarh,-,-,0,0,0,0
59,Rangpur,2727,1643,2525,1511,2637,1579
60,Thakurgaon,8,3,3,1,2,1
7,Rangpur,12738,9151,12120,8775,11994,8574
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0
,BANGLADESH,15151,11490,14827,11395,14713,11338
