Zila/Division,,2014-15,,2015-16,,2016-17,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal,0,0,0,0,0,0
7,Bandarban,6604,3284,6472,3142,6486,3145
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chittagang,114,35,106,31,105,32
11,Cumilla,0,0,0,0,0,0
12,Cox's Bazar,206,123,340,326,366,388
13,Feni,0,0,0,0,0,0
14,Khagrachhari,1978,2095,2009,2110,2050,2187
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,1361,922,973,939,1390,905
2,Chittagang,10263,6459,9900,6548,10397,6657
18,Dhaka,0,0,0,0,0,0
19,Faridpur,50,35,55,45,70,55
20,Gazipur,0,0,0,0,0,0
21,Gopalganj,33,19,45,26,31,18
22,Kishorganj,0,0,0,0,0,0
23,Madaripur,4,2,0,0,0,0
24,Manikganj,5331,3547,5344,3541,5360,3670
25,Munshiganj,5,3,3,2,3,2
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,162,129,80,66,84,74
29,Shariatpur,0,0,0,0,0,0
30,Tangail,416,215,144,40,462,237
3,Dhaka,6001,3950,5671,3720,6010,4056
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,2472,2333,2452,2273,2395,2333
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,4473,3564,4235,3360,4118,3318
35,Khulna,0,0,0,0,0,0
36,Kushtia,39001,30244,36443,31462,34936,36118
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,2,1,2,1,2,1
38,Meherpur,10585,8830,9863,8011,9901,8059
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0
4,Khulna,56533,44972,52995,45107,51352,49829
41,Jamalpur,0,0,0,0,12,4
42,Mymensing,0,0,0,0,0,0
43,Netrakona,14,3,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensing,14,3,0,0,12,4
45,Bogura,0,0,0,0,0,0
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0
48,Natore,121,53,84,38,76,37
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,7,6,0,0,0,0
51,Rajshahi,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0
6,Rajshahi,128,59,84,38,76,37
53,Dinajpur,13,6,14,6,12,6
54,Gaibandha,88,64,89,43,88,54
55,Kurigram,542,294,402,240,415,251
56,Lalmonirhat,28833,21685,20851,15535,20910,15557
57,Nilphamari,13536,10118,13137,9862,12903,8657
58,Panchagarh,9,2,8,2,8,2
59,Rangpur,11349,6580,11170,6504,11112,6462
60,Thakurgaon,8,3,3,1,2,1
7,Rangpur,54378,38752,45674,32193,45450,30990
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0
,BANGLADESH,127317,94195,114324,87606,113297,91573
