Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,188,214,222,1119,858,818,308,795,963,1427,1653,1781
2,Barishal,1180,1143,1153,880,878,1323,953,805,938,1833,1683,2261
3,Bhola,6448,5712,5163,9119,9289,6549,1520,2781,6260,10639,12070,12809
4,Jhallokati,854,887,851,786,915,708,638,876,732,1424,1791,1440
5,Patuakhali,124,133,130,360,832,1005,592,1290,1363,952,2122,2368
6,Pirojpur,3640,3444,3474,5043,3102,3142,4098,3155,2313,9141,6257,5455
1,Barishal,12434,11533,10993,17307,15874,13545,8109,9702,12569,25416,25576,26114
7,Bandarban,61,61,47,95,79,88,127,118,118,222,197,206
8,Brahmanbaria,1,10,13,5,7,7,277,501,514,282,508,521
9,Chandpur,192,341,296,430,1068,646,694,387,647,1124,1455,1293
10,Chittagang,464,659,578,4388,4605,5930,6447,5040,5897,10835,9645,11827
11,Cumilla,33,42,47,211,251,276,1428,2038,1789,1639,2289,2065
12,Cox's Bazar,2703,3639,3656,21023,24599,24513,3326,2071,3238,24349,26670,27751
13,Feni,664,650,651,251,201,201,1833,1680,2256,2084,1881,2457
14,Khagrachhari,30,22,28,40,41,51,170,184,214,210,225,265
15,Laksmipur,1182,1421,14401,48122,51388,61035,974,80205,36614,49096,131593,97649
16,Noakhali,622,623,369,400,404,316,1927,2060,1865,2327,2464,2181
17,Rangamati,80,135,95,203,158,160,436,354,420,639,512,580
2,Chittagang,6032,7603,20181,75168,82801,93223,17639,94638,53572,92807,177439,146795
18,Dhaka,16,13,16,99,103,101,713,746,769,812,849,870
19,Faridpur,135,122,122,398,295,295,494,625,647,892,920,942
20,Gazipur,309,309,308,200,250,251,652,727,905,852,977,1156
21,Gopalganj,53,53,53,234,176,175,332,351,353,566,527,528
22,Kishorganj,146,119,121,499,369,351,1187,1375,902,1686,1744,1253
23,Madaripur,368,158,158,86,317,56,534,603,571,620,920,627
24,Manikganj,33,14,41,138,20,183,338,221,276,476,241,459
25,Munshiganj,0,0,0,0,0,0,257,145,158,257,145,158
26,Narayanganj,16,14,14,36,20,14,376,221,203,412,241,217
27,Narsingdi,1,1,1,7,8,8,317,352,320,324,360,328
28,Rajbari,261,259,257,1201,1201,1199,855,886,858,2056,2087,2057
29,Shariatpur,110,111,107,262,261,339,605,664,884,867,925,1223
30,Tangail,123,120,106,416,404,351,1228,1274,1373,1644,1678,1724
3,Dhaka,1571,1293,1304,3576,3424,3323,7888,8190,8219,11464,11614,11542
31,Bagerhat,2928,3178,3206,3587,3629,3565,1034,1729,589,4621,5358,4154
32,Chuadanga,70,70,66,85,85,86,18,15,22,103,100,108
33,Jashore,490,488,481,924,904,601,401,517,646,1325,1421,1247
34,Jhenaidah,128,77,91,161,60,44,239,337,382,400,397,426
35,Khulna,856,263,262,1365,1385,1385,603,719,513,1968,2104,1898
36,Kushtia,89,89,88,356,356,351,1040,1055,1176,1396,1411,1527
