Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,24,0,-,264,0,873,1596,1725,873,1860,1725
2,Barishal,-,0,0,-,0,0,5043,7332,7554,5043,7332,7554
3,Bhola,-,0,0,-,0,0,2183,5409,8719,2183,5409,8719
4,Jhallokati,-,0,0,-,0,0,2014,2179,2052,2014,2179,2052
5,Patuakhali,-,0,0,-,0,0,5183,5790,6363,5183,5790,6363
6,Pirojpur,-,0,0,-,0,0,3268,3656,4285,3268,3656,4285
1,Barishal,-,24,0,-,264,0,18564,25962,30698,18564,26226,30698
7,Bandarban,233,484,476,1435,1632,1477,2102,1953,2190,3537,3585,3667
8,Brahmanbaria,33,31,31,634,403,0,10350,14860,18938,10984,15263,18938
9,Chandpur,-,0,0,-,0,0,26353,27484,9490,26353,27484,9490
10,Chittagang,1094,1798,1083,8617,9148,8407,39387,40753,37646,48004,49901,46053
11,Cumilla,33,34,34,141,162,158,15583,14681,17183,15724,14843,17341
12,Cox's Bazar,1250,122,122,1606,1588,1759,6238,6732,6714,7844,8320,8473
13,Feni,-,0,0,-,0,0,2315,2705,2835,2315,2705,2835
14,Khagrachhari,3429,3640,3777,26121,31069,27280,15489,17288,15270,41610,48357,42550
15,Laksmipur,-,0,0,-,0,0,1310,2243,2295,1310,2243,2295
16,Noakhali,-,0,0,-,0,0,1100,1144,1843,1100,1144,1843
17,Rangamati,2527,1913,2036,25596,0,26026,17094,0,17811,42690,0,43837
2,Chittagang,8599,8022,7559,64150,44002,65107,137321,129843,132215,201471,173845,197322
18,Dhaka,90,91,93,654,840,815,2439,2286,2606,3093,3126,3421
19,Faridpur,141,136,126,1609,1560,155,11828,12143,13191,13437,13703,13346
20,Gazipur,3750,3745,3044,17369,21866,7194,57065,52516,27563,74434,74382,34757
21,Gopalganj,38,38,39,297,342,313,1868,2079,2018,2165,2421,2331
22,Kishorganj,139,77,77,2277,1387,1742,13955,15249,16026,16232,16636,17768
23,Madaripur,21,0,0,63,0,0,883,2367,2510,946,2367,2510
24,Manikganj,0,0,0,0,0,0,5614,5390,5278,5614,5390,5278
25,Munshiganj,0,0,0,0,0,0,828,473,718,828,473,718
26,Narayanganj,45,1,0,6,4,5,1885,2049,1748,1891,2053,1753
27,Narsingdi,1538,1091,1544,12204,12188,13706,15772,15250,16408,27976,27438,30114
28,Rajbari,410,153,1282,1419,2136,1779,3668,3525,4690,5087,5661,6469
29,Shariatpur,0,0,0,0,0,0,742,862,898,742,862,898
30,Tangail,1319,1316,1308,14290,16925,14376,46475,47991,49090,60765,64916,63466
3,Dhaka,7491,6648,7513,50188,57248,40085,163022,162180,142744,213210,219428,182829
31,Bagerhat,36,29,10,158,41,62,1488,1744,1831,1646,1785,1893
32,Chuadanga,2397,652,402,7185,6255,2473,2878,3912,2861,10063,10167,5334
33,Jashore,467,975,452,5725,5622,514,5364,5897,10075,11089,11519,10589
34,Jhenaidah,2318,0,413,6151,6954,5030,5390,6580,8363,11541,13534,13393
35,Khulna,35,35,35,305,168,318,3477,3826,3787,3782,3994,4105
36,Kushtia,1271,1335,1299,24744,32981,24453,56297,51190,57602,81041,84171,82055
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,452,496,523,3399,3522,3643,3865,4152,4038,7264,7674,7681
38,Meherpur,1045,1061,107,4505,4593,4759,4553,4801,4561,9058,9394,9320
39,Narail,44,145,145,2502,2477,2658,4447,4477,6662,6949,6954,9320
40,Satkhira,394,396,470,2294,2208,2546,2561,3109,2587,4855,5317,5133
4,Khulna,8459,5124,3856,56968,64821,46456,90320,89688,102367,147288,154509,148823
41,Jamalpur,32,42,41,556,800,3992,18429,20346,16358,18985,21146,20350
42,Mymensing,547,618,419,7158,10552,39903,66124,80191,52877,73282,90743,92780
43,Netrakona,0,0,0,0,0,0,12927,18046,16164,12927,18046,16164
44,Sherpur,68,68,68,739,589,4317,9713,10294,6789,10452,10883,11106
5,Mymensing,647,728,528,8453,11941,48212,107193,128877,92188,115646,140818,140400
45,Bogura,46,64,45,2121,2168,2111,16773,17309,17731,18894,19477,19842
46,Joypurhat,23,22,8,204,214,259,1900,1964,1838,2104,2178,2097
47,Naogaon,86,88,91,2404,1113,1839,9090,7334,31585,11494,8447,33424
48,Natore,266,204,232,5654,4948,4380,26523,24860,29044,32177,29808,33424
49,Chapai Nawabganj,130,129,137,644,606,634,1893,1944,1921,2537,2550,2555
50,Pabna,614,442,492,10446,6071,8070,21889,22729,18834,32335,28800,26904
51,Rajshahi,235,600,596,1566,1800,1547,7767,8745,9353,9333,10545,10900
52,Sirajganj,655,122,10329,1475,1694,1034,24596,24141,23711,26071,25835,24745
6,Rajshahi,2055,1671,11930,24514,18614,19874,110431,109026,134017,134945,127640,153891
53,Dinajpur,654,690,696,10669,9971,10031,23667,2469,24783,34336,12440,34814
54,Gaibandha,-,0,0,-,0,0,11087,11860,12169,11087,11860,12169
55,Kurigram,49,84,86,680,798,1044,5620,7502,8260,6300,8300,9304
56,Lalmonirhat,195,42,42,328,304,335,8839,8978,9515,9167,9282,9850
57,Nilphamari,105,119,120,796,834,867,27303,27707,29170,28099,28541,30037
58,Panchagarh,378,65,66,2239,870,803,32757,27441,24305,34996,28311,25108
59,Rangpur,121,128,129,1490,1632,1335,15746,16837,13723,17236,18469,15058
60,Thakurgaon,478,494,501,15059,9167,3924,17800,11368,4899,32859,20535,8823
7,Rangpur,1980,1622,1640,31261,23576,18339,142819,114162,126824,174080,137738,145163
61,Habiganj,1940,1564,1572,1977,2978,2412,14631,15165,17114,16608,18143,19526
62,Maulvibazar,1036,966,355,9950,7220,6224,13990,7840,8873,23940,15060,15097
63,Sunamganj,3,0,81,4392,0,3583,4696,12735,6807,9088,12735,10390
64,Sylhet,941,965,308,1271,872,345,4682,4139,5428,5953,5011,5773
8,Sylhet,3920,3495,2316,17590,11070,12564,37999,39879,38222,55589,50949,50786
,BANGLADESH,33151,27334,35342,253124,231536,250637,807669,799617,799275,1060793,1031153,1049912
