Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,18,39,79,18,39,79
2,Barishal,-,0,0,-,0,0,396,460,356,396,460,356
3,Bhola,-,0,0,-,0,0,11,134,135,11,134,135
4,Jhallokati,-,0,0,-,0,0,53,53,56,53,53,56
5,Patuakhali,-,0,0,-,0,0,33,30,30,33,30,30
6,Pirojpur,-,0,1,-,0,3,73,69,94,73,69,97
1,Barishal,-,0,1,-,0,3,584,785,750,584,785,753
7,Bandarban,70,72,72,110,126,122,121,125,123,231,251,245
8,Brahmanbaria,2,2,0,4,3,1,185,543,556,189,546,557
9,Chandpur,-,0,0,-,0,0,88,105,60,88,105,60
10,Chittagang,183,178,178,607,633,649,1443,1616,1695,2050,2249,2344
11,Cumilla,-,0,0,-,0,0,229,217,247,229,217,247
12,Cox's Bazar,12,13,12,58,58,74,310,317,303,368,375,377
13,Feni,-,0,0,-,0,0,42,34,35,42,34,35
14,Khagrachhari,425,433,359,872,893,586,681,665,540,1553,1558,1126
15,Laksmipur,-,0,0,-,0,0,108,52,96,108,52,96
16,Noakhali,-,0,0,-,0,0,104,98,105,104,98,105
17,Rangamati,162,128,185,1081,912,1054,867,883,938,1948,1795,1992
2,Chittagang,854,826,806,2732,2625,2486,4178,4655,4698,6910,7280,7184
18,Dhaka,0,0,3,0,0,1,74,102,106,74,102,107
19,Faridpur,0,0,0,0,0,0,501,510,530,501,510,530
20,Gazipur,145,145,68,261,427,131,524,608,701,785,1035,832
21,Gopalganj,8,10,8,15,10,6,197,190,207,212,200,213
22,Kishorganj,5,5,5,54,48,162,1664,1559,3238,1718,1607,3400
23,Madaripur,15,0,0,40,0,0,218,286,312,258,286,312
24,Manikganj,0,0,0,0,0,0,164,173,184,164,173,184
25,Munshiganj,0,0,0,0,0,0,65,73,61,65,73,61
26,Narayanganj,6,17,18,65,63,61,405,254,272,470,317,333
27,Narsingdi,5,5,5,20,20,3,565,628,712,585,648,715
28,Rajbari,0,0,0,0,0,738,320,342,890,320,342,1628
29,Shariatpur,0,0,0,0,0,0,116,115,187,116,115,187
30,Tangail,15,17,17,22,47,48,803,958,994,825,1005,1042
3,Dhaka,199,199,124,477,615,1150,5616,5798,8394,6093,6413,9544
31,Bagerhat,9,3,3,4,2,3,364,358,372,368,360,375
32,Chuadanga,54,68,63,90,108,120,105,105,142,195,213,262
33,Jashore,129,137,140,1074,1219,917,1173,1232,1394,2247,2451,2311
34,Jhenaidah,84,0,91,417,278,258,489,676,736,906,954,994
35,Khulna,9,0,0,7,0,0,331,363,347,338,363,347
36,Kushtia,260,264,271,501,830,698,1809,1537,1896,2310,2367,2594
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,102,128,131,2321,2647,2611,1114,1112,1367,3435,3759,3978
38,Meherpur,285,298,329,532,575,604,295,360,335,827,935,939
39,Narail,20,20,21,33,19,43,591,713,813,624,732,856
40,Satkhira,47,55,61,123,125,156,462,429,700,585,554,856
4,Khulna,999,973,1110,5102,5803,5410,6733,6885,8102,11835,12688,13512
41,Jamalpur,30,34,0,161,302,312,1179,1474,1746,1340,1776,2058
42,Mymensing,21,34,20,86,305,67,7120,8561,7477,7206,8866,7544
43,Netrakona,0,0,0,0,0,0,493,511,514,493,511,514
44,Sherpur,0,0,0,0,0,0,398,421,505,398,421,505
5,Mymensing,51,68,20,247,607,379,9190,10967,10242,9437,11574,10621
45,Bogura,3,3,0,17,17,57,978,890,2049,995,907,2106
46,Joypurhat,7,8,7,23,93,45,122,299,273,145,392,318
47,Naogaon,26,23,23,185,169,83,791,929,1145,976,1098,1228
48,Natore,52,178,3597,507,1565,1023,3137,2221,9221,3644,3786,10244
49,Chapai Nawabganj,51,57,49,141,103,175,350,406,431,491,509,606
50,Pabna,80,951,1423,3863,4794,4620,1685,1632,1910,5548,6426,6530
51,Rajshahi,156,190,180,1021,2025,1789,2182,2073,2254,3203,4098,4043
52,Sirajganj,1,42,2,8,9,17,462,553,570,470,562,587
6,Rajshahi,376,1452,5281,5765,8775,7809,9707,9003,17853,15472,17778,25662
53,Dinajpur,4049,1251,1048,5742,6229,7328,2738,2900,3297,8480,9129,10625
54,Gaibandha,1,1,400,11,21,13,281,279,334,292,300,347
55,Kurigram,-,0,4,-,1,0,328,356,583,328,357,583
56,Lalmonirhat,44,27,48,103,173,202,255,314,398,358,487,600
57,Nilphamari,77,51,51,215,339,284,1900,1933,1317,2115,2272,1601
58,Panchagarh,163,164,168,1236,658,660,3281,2014,2000,4517,2672,2660
59,Rangpur,37,52,57,174,218,273,1159,1231,1255,1333,1449,1528
60,Thakurgaon,176,184,184,1724,1522,1385,2076,1732,1636,3800,3254,3021
7,Rangpur,4547,1730,1960,9205,9161,10145,12018,10759,10820,21223,19920,20965
61,Habiganj,11,12,10,40,127,100,237,372,394,277,499,494
62,Maulvibazar,-,9,12,-,15,36,695,79,658,695,94,694
63,Sunamganj,2,2,21,6,9,19,410,301,478,416,310,497
64,Sylhet,19,378,1,17,122,11,298,242,360,315,364,371
8,Sylhet,32,401,44,63,273,166,1640,994,1890,1703,1267,2056
,BANGLADESH,7058,5649,7136,23591,27859,27548,49666,49846,62749,73257,77705,90297
