Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,324,279,235,324,279,235
2,Barishal,6,5,5,26,23,23,431,413,362,457,436,385
3,Bhola,7,0,6,31,0,30,288,262,300,319,262,330
4,Jhallokati,-,2500,2520,-,0,0,249,262,309,249,262,309
5,Patuakhali,-,0,0,-,0,0,285,432,388,285,432,388
6,Pirojpur,42,36,18,101,78,117,149,188,257,250,266,374
1,Barishal,55,2541,2549,158,101,170,1726,1836,1851,1884,1937,2021
7,Bandarban,8,8,8,25,28,29,350,387,397,375,415,426
8,Brahmanbaria,-,0,0,-,0,0,1377,1453,1085,1377,1453,1085
9,Chandpur,-,0,0,-,0,0,1200,1165,1202,1200,1165,1202
10,Chittagang,2,2,2,8,9,10,3085,3148,3543,3093,3157,3553
11,Cumilla,2,5,0,28,22,0,2618,3396,3016,2646,3418,3016
12,Cox's Bazar,15,7,17,123,32,96,2121,1526,1633,2244,1558,1729
13,Feni,-,0,0,-,0,0,275,256,267,275,256,267
14,Khagrachhari,6,6,6,25,27,29,561,603,629,586,630,658
15,Laksmipur,-,0,0,-,0,0,542,538,547,542,538,547
16,Noakhali,-,0,0,-,0,0,850,792,1178,850,792,1178
17,Rangamati,45,46,44,163,160,161,1214,1214,1271,1377,1374,1432
2,Chittagang,78,74,77,372,278,325,14193,14478,14768,14565,14756,15093
18,Dhaka,4,4,4,44,42,44,1315,1310,1328,1359,1352,1372
19,Faridpur,24,23,23,66,62,62,565,516,508,631,578,570
20,Gazipur,21,21,22,105,60,63,645,378,394,750,438,457
21,Gopalganj,4,4,4,11,11,13,552,576,663,563,587,676
22,Kishorganj,1,1,1,4,4,4,1592,1712,1519,1596,1716,1523
23,Madaripur,1,1,1,47,0,74,3203,3213,2865,3250,3213,2939
24,Manikganj,4,77,77,52,51,51,537,607,612,589,658,663
25,Munshiganj,0,0,0,0,0,0,273,275,289,273,275,289
26,Narayanganj,0,0,0,0,0,0,287,344,355,287,344,355
27,Narsingdi,23,25,13,148,169,115,826,800,786,974,969,901
28,Rajbari,8,8,825,36,41,42,345,358,368,381,399,410
29,Shariatpur,3,4,0,10,12,0,747,803,1043,757,815,1043
30,Tangail,30,62,63,1126,994,989,1336,1579,1633,2462,2573,2622
3,Dhaka,123,230,1033,1649,1446,1457,12223,12471,12363,13872,13917,13820
31,Bagerhat,21,25,27,81,102,112,506,564,607,587,666,719
32,Chuadanga,176,160,66,5072,2180,1084,508,70,200,5580,2250,1284
33,Jashore,149,163,1156,1856,1936,2090,762,794,895,2618,2730,2985
34,Jhenaidah,153,149,139,1258,1369,1225,483,569,581,1741,1938,1806
35,Khulna,45,27,85,206,212,230,701,719,720,907,931,950
36,Kushtia,76,70,74,1046,900,887,1530,1548,1535,2576,2448,2422
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,27,28,30,499,480,485,1253,1331,1375,1752,1811,1860
38,Meherpur,44,65,84,115,103,237,26,35,62,141,138,299
39,Narail,10,56,57,55,294,333,860,738,804,915,1032,1137
40,Satkhira,180,184,178,672,818,857,934,818,918,1606,1636,1775
4,Khulna,881,927,1896,10860,8394,7540,7563,7186,7697,18423,15580,15237
41,Jamalpur,22,19,22,315,328,406,2265,2344,2642,2580,2672,3048
42,Mymensing,25,87,99,537,650,1035,4166,6215,6385,4703,6865,7420
43,Netrakona,0,0,0,0,0,0,1550,1712,986,1550,1712,986
44,Sherpur,3,3,4,101,105,109,537,586,670,638,691,779
5,Mymensing,50,109,125,953,1083,1550,8518,10857,10683,9471,11940,12233
45,Bogura,18,14,17,503,656,556,1308,1757,1518,1811,2413,2074
46,Joypurhat,5,5,5,57,58,58,1030,1028,1025,1087,1086,1083
47,Naogaon,118,109,122,384,374,496,752,933,941,1136,1307,1437
48,Natore,48,52,45,662,808,912,1687,2195,2660,2349,3003,3572
49,Chapai Nawabganj,344,422,357,1829,1631,1760,376,359,372,2205,1990,2132
50,Pabna,52,48,61,406,375,399,1180,1120,1212,1586,1495,1611
51,Rajshahi,460,419,477,4671,5049,6978,1003,1011,929,5674,6060,7907
52,Sirajganj,8,8,7,48,47,48,1163,1172,1327,1211,1219,1375
6,Rajshahi,1053,1077,1091,8560,8998,11207,8499,9575,9984,17059,18573,21191
53,Dinajpur,45,33,29,441,426,356,745,707,643,1186,1133,999
54,Gaibandha,65,39,39,160,167,145,288,292,261,448,459,406
55,Kurigram,4,4,8,22,25,46,179,205,405,201,230,451
56,Lalmonirhat,29,1,1,105,122,132,321,370,406,426,492,538
57,Nilphamari,48,44,42,550,571,574,602,630,630,1152,1201,1204
58,Panchagarh,4,4,6,46,39,39,485,400,406,531,439,445
59,Rangpur,28,30,32,172,184,210,348,337,375,520,521,585
60,Thakurgaon,5,5,5,26,25,29,417,453,463,443,478,492
7,Rangpur,228,160,162,1522,1559,1531,3385,3394,3589,4907,4953,5120
61,Habiganj,3,0,0,-,0,0,745,644,657,745,644,657
62,Maulvibazar,-,0,5,-,0,110,1678,2358,2363,1678,2358,2473
63,Sunamganj,12,12,13,758,55,65,6237,376,584,6995,431,649
64,Sylhet,64,137,111,79,86,80,531,1139,1301,610,1225,1381
8,Sylhet,79,149,129,837,141,255,9191,4517,4905,10028,4658,5160
,BANGLADESH,2547,5267,7062,24911,22000,24035,65298,64314,65840,90209,86314,89875
