Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,106,59,141,106,59,141
2,Barishal,-,0,0,-,0,0,701,1265,1131,701,1265,1131
3,Bhola,-,0,0,-,0,0,582,512,506,582,512,506
4,Jhallokati,-,0,0,-,0,0,1179,1235,1259,1179,1235,1259
5,Patuakhali,-,0,0,-,0,0,207,200,222,207,200,222
6,Pirojpur,-,0,0,-,0,0,571,603,822,571,603,822
1,Barishal,-,0,0,-,0,0,3346,3874,4081,3346,3874,4081
7,Bandarban,304,246,250,452,447,525,260,243,314,712,690,839
8,Brahmanbaria,-,0,0,-,0,0,1881,2037,2070,1881,2037,2070
9,Chandpur,-,0,0,-,0,0,480,835,207,480,835,207
10,Chittagang,46,41,40,346,345,319,2979,3112,3266,3325,3457,3585
11,Cumilla,-,0,0,5,0,0,1451,1881,2123,1456,1881,2123
12,Cox's Bazar,5,5,5,62,37,66,573,604,636,635,641,702
13,Feni,-,0,0,-,0,0,152,147,160,152,147,160
14,Khagrachhari,94,101,121,230,277,275,616,614,629,846,891,904
15,Laksmipur,9,9,0,25,29,0,253,218,249,278,247,249
16,Noakhali,-,0,0,-,0,0,250,263,376,250,263,376
17,Rangamati,48,49,32,277,226,221,1715,1392,1337,1992,1618,1558
2,Chittagang,506,451,448,1397,1361,1406,10610,11346,11367,12007,12707,12773
18,Dhaka,0,0,0,0,0,0,628,958,931,628,958,931
19,Faridpur,1,1,0,4,0,0,772,769,764,776,769,764
20,Gazipur,77,76,79,271,323,250,625,558,297,896,881,547
21,Gopalganj,5,5,5,23,23,24,526,501,535,549,524,559
22,Kishorganj,4,4,1,129,128,132,1042,1101,1164,1171,1229,1296
23,Madaripur,1,0,0,2,4,0,341,435,454,343,439,454
24,Manikganj,0,0,0,32,0,0,592,675,703,624,675,703
25,Munshiganj,0,0,0,0,0,0,15,95,148,15,95,148
26,Narayanganj,0,0,0,0,0,0,143,130,169,143,130,169
27,Narsingdi,2,2,2,8,11,11,888,859,926,896,870,937
28,Rajbari,0,0,0,0,0,0,1132,1135,1100,1132,1135,1100
29,Shariatpur,0,0,0,0,0,0,493,493,491,493,493,491
30,Tangail,0,0,0,0,2,0,1648,1729,1820,1648,1731,1820
3,Dhaka,90,88,87,469,491,417,8845,9438,9502,9314,9929,9919
31,Bagerhat,-,0,0,-,0,0,390,645,768,390,645,768
32,Chuadanga,-,0,0,-,0,0,233,306,275,233,306,275
33,Jashore,5,0,6,125,130,108,2271,2424,2404,2396,2554,2512
34,Jhenaidah,19,6,0,160,0,0,850,1278,1346,1010,1278,1346
35,Khulna,-,0,0,-,0,0,1151,1156,1186,1151,1156,1186
36,Kushtia,30,30,30,327,295,296,1465,1329,1411,1792,1624,1707
