Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,129,76,90,129,76,90
2,Barishal,-,0,0,-,0,0,222,204,192,222,204,192
3,Bhola,-,0,0,-,0,0,144,176,151,144,176,151
4,Jhallokati,-,0,0,-,0,0,103,93,99,103,93,99
5,Patuakhali,-,0,0,-,0,0,130,164,152,130,164,152
6,Pirojpur,-,0,0,-,0,0,165,152,195,165,152,195
1,Barishal,-,0,0,-,0,0,883,865,879,883,865,879
7,Bandarban,17,16,16,54,39,40,600,635,632,654,674,672
8,Brahmanbaria,-,0,0,-,0,0,91,94,181,91,94,181
9,Chandpur,-,0,0,-,0,0,84,81,7,84,81,7
10,Chittagang,-,0,0,-,0,0,192,161,199,192,161,199
11,Cumilla,-,0,0,-,0,0,172,167,150,172,167,150
12,Cox's Bazar,-,0,0,-,0,0,57,141,176,57,141,176
13,Feni,-,0,0,-,0,0,97,21,42,97,21,42
14,Khagrachhari,25,0,0,52,0,0,158,220,226,210,220,226
15,Laksmipur,-,0,0,-,0,0,83,133,90,83,133,90
16,Noakhali,-,0,0,-,0,0,68,65,65,68,65,65
17,Rangamati,5,63,6,15,11,11,247,292,284,262,303,295
2,Chittagang,47,79,22,121,50,51,1849,2010,2052,1970,2060,2103
18,Dhaka,0,0,0,0,0,0,138,155,508,138,155,508
19,Faridpur,0,0,0,0,0,0,229,236,236,229,236,236
20,Gazipur,0,0,0,0,0,0,175,177,189,175,177,189
21,Gopalganj,0,0,0,0,0,0,514,528,278,514,528,278
22,Kishorganj,0,0,0,0,0,0,123,126,115,123,126,115
23,Madaripur,0,0,0,0,0,0,696,359,432,696,359,432
24,Manikganj,0,0,0,0,0,0,53,49,54,53,49,54
25,Munshiganj,0,0,0,0,0,0,32,53,55,32,53,55
26,Narayanganj,0,0,0,0,0,0,64,70,72,64,70,72
27,Narsingdi,0,0,0,0,0,0,139,133,77,139,133,77
28,Rajbari,0,0,0,0,0,0,78,84,86,78,84,86
29,Shariatpur,0,2,0,0,6,0,81,182,133,81,188,133
30,Tangail,0,0,0,0,0,0,145,148,152,145,148,152
3,Dhaka,0,2,0,0,6,0,2467,2300,2387,2467,2306,2387
31,Bagerhat,-,0,0,-,0,0,118,126,140,118,126,140
32,Chuadanga,-,0,0,-,0,0,57,48,55,57,48,55
33,Jashore,-,0,0,-,0,0,264,340,354,264,340,354
34,Jhenaidah,-,0,0,-,0,0,193,208,220,193,208,220
35,Khulna,-,0,0,-,0,0,255,292,301,255,292,301
36,Kushtia,-,0,0,-,0,0,487,473,455,487,473,455
