Zila/Division,,2014-15,,2015-16,,2016-17,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,93,121,118,151,120,146
2,Barishal,255,510,275,506,210,428
3,Bhola,255,364,321,651,352,676
4,Jhallokati,65,63,72,73,78,83
5,Patuakhali,47,47,90,99,103,119
6,Pirojpur,107,232,115,273,153,283
1,Barishal,822,1337,991,1753,1016,1735
7,Bandarban,93,230,102,288,106,314
8,Brahmanbaria,381,2012,399,2081,402,1982
9,Chandpur,258,740,263,757,267,795
10,Chittagang,496,1499,370,919,531,1648
11,Cumilla,1815,6113,1850,6517,1937,6401
12,Cox's Bazar,343,1349,337,1346,345,1385
13,Feni,102,256,99,278,115,321
14,Khagrachhari,212,666,234,715,256,772
15,Laksmipur,179,301,154,313,231,389
16,Noakhali,167,225,169,227,117,168
17,Rangamati,109,256,123,270,108,231
2,Chittagang,4155,13647,4100,13711,4415,14406
18,Dhaka,167,757,171,778,173,779
19,Faridpur,98,312,89,298,89,298
20,Gazipur,81,199,90,220,90,222
21,Gopalganj,111,422,130,496,139,526
22,Kishorganj,264,834,303,981,327,1051
23,Madaripur,75,126,124,173,127,164
24,Manikganj,59,125,60,107,62,112
25,Munshiganj,282,1331,293,1373,628,2554
26,Narayanganj,194,775,185,779,188,737
27,Narsingdi,82,303,74,291,73,280
28,Rajbari,75,180,90,267,128,445
29,Shariatpur,59,114,58,171,93,252
30,Tangail,154,581,175,688,197,786
3,Dhaka,1701,6059,1842,6622,2314,8206
31,Bagerhat,166,311,179,300,187,324
32,Chuadanga,76,476,80,508,162,686
33,Jashore,371,1812,455,2173,475,2410
34,Jhenaidah,254,962,224,880,243,1103
35,Khulna,29,76,38,95,40,101
36,Kushtia,45,105,58,152,77,241
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,17,63,18,63,17,61
38,Meherpur,35,250,39,255,44,287
39,Narail,97,288,109,447,101,412
40,Satkhira,97,288,107,327,106,355
4,Khulna,1187,4631,1307,5200,1452,5980
41,Jamalpur,82,271,88,294,95,313
42,Mymensing,459,1661,461,1620,459,1614
43,Netrakona,70,258,71,262,93,364
44,Sherpur,92,269,26,49,29,55
5,Mymensing,703,2459,646,2225,676,2346
45,Bogura,219,777,233,889,233,892
46,Joypurhat,266,1088,107,373,110,383
47,Naogaon,265,1047,270,1067,287,1114
48,Natore,198,301,211,329,223,362
49,Chapai Nawabganj,111,281,125,315,124,316
50,Pabna,43,136,52,136,58,120
51,Rajshahi,373,1282,350,1263,311,1164
52,Sirajganj,728,5005,766,6377,808,6960
6,Rajshahi,2203,9917,2114,10749,2154,11311
53,Dinajpur,191,593,210,620,219,645
54,Gaibandha,169,379,168,405,169,415
55,Kurigram,105,284,104,274,107,282
56,Lalmonirhat,55,107,70,144,76,157
57,Nilphamari,165,674,169,658,172,654
58,Panchagarh,168,332,178,416,183,460
59,Rangpur,75,235,79,242,81,244
60,Thakurgaon,69,105,74,119,81,129
7,Rangpur,997,2709,1052,2878,1088,2986
61,Habiganj,70,268,119,452,114,532
62,Maulvibazar,115,312,160,622,162,635
63,Sunamganj,112,491,262,989,247,985
64,Sylhet,226,969,337,1245,400,1373
8,Sylhet,523,2040,878,3308,923,3525
,BANGLADESH,12291,42799,12930,46446,14038,50495
