Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,24,54,20,24,54,20
2,Barishal,-,0,0,-,0,0,234,333,110,234,333,110
3,Bhola,-,0,0,-,0,0,25,85,64,25,85,64
4,Jhallokati,-,0,0,-,0,0,123,133,139,123,133,139
5,Patuakhali,-,0,0,-,0,0,80,91,83,80,91,83
6,Pirojpur,-,0,0,-,0,0,50,53,71,50,53,71
1,Barishal,-,0,0,-,0,0,536,749,487,536,749,487
7,Bandarban,8,7,7,23,26,27,168,175,178,191,201,205
8,Brahmanbaria,-,0,0,-,0,0,204,272,279,204,272,279
9,Chandpur,-,0,0,-,0,0,235,251,270,235,251,270
10,Chittagang,-,0,0,-,0,0,573,466,479,573,466,479
11,Cumilla,-,0,0,-,0,0,664,792,669,664,792,669
12,Cox's Bazar,-,0,0,-,0,0,207,222,254,207,222,254
13,Feni,-,0,0,-,0,0,226,199,191,226,199,191
14,Khagrachhari,-,0,0,-,0,0,212,848,225,212,848,225
15,Laksmipur,-,0,0,-,0,0,393,384,391,393,384,391
16,Noakhali,-,0,0,-,0,0,210,190,192,210,190,192
17,Rangamati,3,3,10,7,8,10,417,410,480,424,418,490
2,Chittagang,11,10,17,30,34,37,3509,4209,3608,3539,4243,3645
18,Dhaka,-,0,0,-,0,0,145,150,142,145,150,142
19,Faridpur,-,0,0,-,0,0,158,113,113,158,113,113
20,Gazipur,2,2,0,11,11,11,203,243,244,214,254,255
21,Gopalganj,-,0,0,-,0,32,56,63,32,56,63,64
22,Kishorganj,-,0,0,-,0,0,484,498,475,484,498,475
23,Madaripur,-,0,0,-,0,0,27,31,32,27,31,32
24,Manikganj,-,0,0,-,0,0,105,114,117,105,114,117
25,Munshiganj,-,0,0,-,0,0,61,84,90,61,84,90
26,Narayanganj,-,0,0,-,0,0,139,164,159,139,164,159
27,Narsingdi,-,0,0,-,0,0,272,183,182,272,183,182
28,Rajbari,-,0,0,-,0,0,19,20,21,19,20,21
29,Shariatpur,-,0,0,-,0,0,2,8,110,2,8,110
30,Tangail,-,0,0,-,0,0,492,475,487,492,475,487
3,Dhaka,2,2,0,11,11,43,2163,2146,2204,2174,2157,2247
31,Bagerhat,-,0,0,-,0,0,46,50,54,46,46,54
32,Chuadanga,-,0,0,-,0,0,11,12,13,11,12,13
33,Jashore,-,0,0,-,0,0,113,129,133,113,129,133
34,Jhenaidah,-,0,0,-,0,0,3,8,15,3,8,15
35,Khulna,-,0,0,-,0,0,76,83,85,76,83,85
36,Kushtia,-,0,0,-,0,0,26,29,28,26,29,28
