Zila/Division,,2014-15,,2015-16,,2016-17,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,220,504,202,456,788,2089
2,Barishal,868,2401,817,2332,810,2335
3,Bhola,731,1963,713,1977,717,2042
4,Jhallokati,223,343,232,359,242,390
5,Patuakhali,257,463,255,511,251,494
6,Pirojpur,290,1054,240,925,319,1146
1,Barishal,2589,6728,2459,6560,3127,8496
7,Bandarban,623,1948,625,1939,626,1930
8,Brahmanbaria,1002,5695,1104,5769,1099,5661
9,Chandpur,1203,5929,1152,5660,1124,5569
10,Chittagang,3175,12642,3188,11134,3206,12487
11,Cumilla,1949,9247,1942,9490,1799,8578
12,Cox's Bazar,778,4191,838,4470,861,4597
13,Feni,459,1860,551,1827,547,1289
14,Khagrachhari,1209,4020,1234,4036,1269,4165
15,Laksmipur,813,2125,800,2074,788,2089
16,Noakhali,1522,5543,1551,5664,1275,3540
17,Rangamati,1003,4118,1007,4145,993,4095
2,Chittagang,13736,57318,13992,56208,13587,54000
18,Dhaka,1052,4801,1224,5176,1225,5232
19,Faridpur,762,3105,569,2619,560,2550
20,Gazipur,665,3088,697,3225,688,3142
21,Gopalganj,443,2044,426,1955,391,1862
22,Kishorganj,1261,8594,1203,9440,1189,9405
23,Madaripur,417,2203,460,2379,454,2150
24,Manikganj,1028,3760,967,3548,930,2912
25,Munshiganj,430,2322,412,2085,474,2244
26,Narayanganj,515,1490,395,1279,404,1308
27,Narsingdi,877,3201,782,3011,797,3096
28,Rajbari,1047,3385,1044,3751,1091,4520
29,Shariatpur,276,1391,398,1956,459,2524
30,Tangail,2537,11768,2716,12201,2556,11512
3,Dhaka,11310,51152,11293,52625,11218,52457
31,Bagerhat,758,4789,841,4187,815,4060
32,Chuadanga,1058,4530,1018,4330,1022,4342
33,Jashore,2131,8653,2074,8426,2100,8635
34,Jhenaidah,1189,4816,1375,8081,1331,7255
35,Khulna,563,2170,533,1946,543,1995
36,Kushtia,889,5526,865,5433,870,5443
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,378,1612,361,1483,377,1563
38,Meherpur,306,888,307,891,310,906
39,Narail,497,1635,437,1611,422,1570
40,Satkhira,614,2432,585,2268,569,2495
4,Khulna,8383,37051,8396,38656,8359,38264
41,Jamalpur,1411,5780,1349,5525,1375,5709
42,Mymensing,2416,10606,2538,11672,3166,12402
43,Netrakona,840,1899,868,1948,870,1940
44,Sherpur,1113,7959,1187,8415,1210,8722
5,Mymensing,5780,26244,5942,27560,6621,28773
45,Bogura,1211,3820,1518,5742,1711,6759
46,Joypurhat,482,2273,488,2183,483,2151
47,Naogaon,1087,4827,1286,8258,1214,8031
48,Natore,971,2612,982,2674,920,2491
49,Chapai Nawabganj,380,1385,407,1426,389,1247
50,Pabna,1027,3580,1036,3591,1065,3534
51,Rajshahi,2522,11768,2460,11754,2199,10844
52,Sirajganj,1373,5532,1342,5611,1320,5563
6,Rajshahi,9053,35797,9519,41239,9301,40620
53,Dinajpur,1102,4383,1241,3694,1183,3744
54,Gaibandha,859,3413,892,3550,751,3109
55,Kurigram,1069,4529,1065,4522,1066,4635
56,Lalmonirhat,815,2735,689,3031,720,3168
57,Nilphamari,1111,4657,1106,4652,1110,4671
58,Panchagarh,1888,12038,1907,12212,1866,11775
59,Rangpur,1039,2592,1083,2691,1099,3285
60,Thakurgaon,809,1795,877,1754,871,1947
7,Rangpur,8692,36142,8860,36106,8666,36334
61,Habiganj,902,7523,949,8399,934,7204
62,Maulvibazar,693,2666,715,2819,715,2819
63,Sunamganj,751,3997,747,3492,792,4084
64,Sylhet,2202,6347,2267,7207,2332,7473
8,Sylhet,4548,20533,4678,21917,4773,21580
,BANGLADESH,64091,270965,65139,280871,65652,280524
