Zila/Division,,2014-15,,2015-16,,2016-17,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,256,604,520,1683,824,1940
2,Barishal,1693,6518,1723,6958,2136,8759
3,Bhola,4525,16437,4517,15605,4978,17221
4,Jhallokati,819,1408,885,2276,754,2308
5,Patuakhali,1154,2135,1505,2860,1520,2888
6,Pirojpur,467,1742,495,1838,481,1984
1,Barishal,8914,28844,9645,31220,10693,35100
7,Bandarban,352,1337,358,1357,360,1377
8,Brahmanbaria,4322,15468,2727,12591,4327,15377
9,Chandpur,1395,3778,1486,4212,1408,5156
10,Chittagang,4838,17587,4485,15786,4484,15821
11,Cumilla,3292,17634,3030,15540,2730,13804
12,Cox's Bazar,1145,4434,1036,4406,942,3697
13,Feni,1570,5472,1618,5547,1184,4156
14,Khagrachhari,705,2511,721,2579,787,2904
15,Laksmipur,1078,2344,1054,2187,1003,2518
16,Noakhali,5144,14559,4871,13245,5760,14593
17,Rangamati,554,2265,573,1693,589,2420
2,Chittagang,24395,87389,21959,79143,23574,81823
18,Dhaka,406,1434,474,2374,484,2396
19,Faridpur,498,2205,491,2220,504,2288
20,Gazipur,222,1000,286,1309,262,1306
21,Gopalganj,94,393,124,679,99,520
22,Kishorganj,2467,12228,2411,11918,2378,11650
23,Madaripur,700,1850,539,1720,467,1544
24,Manikganj,170,700,204,730,360,1065
25,Munshiganj,200,672,207,1649,195,1246
26,Narayanganj,540,2650,489,2266,486,2215
27,Narsingdi,2214,12893,2009,12228,1971,11871
28,Rajbari,406,1671,435,1709,329,1399
29,Shariatpur,720,2560,1477,11270,1399,11026
30,Tangail,1834,8536,1754,7863,1631,7269
3,Dhaka,10471,48792,10900,57935,10565,55795
31,Bagerhat,357,1570,662,2581,677,2594
32,Chuadanga,128,887,133,917,137,941
33,Jashore,265,1174,243,1043,228,997
34,Jhenaidah,239,1005,207,897,139,627
35,Khulna,47,153,50,165,40,131
36,Kushtia,319,2294,316,2307,282,1258
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,113,404,116,452,114,433
38,Meherpur,72,314,72,311,80,387
39,Narail,140,516,113,411,111,408
40,Satkhira,72,297,53,212,51,211
4,Khulna,1752,8614,1965,9296,1859,7987
41,Jamalpur,2742,15218,2742,15120,2738,15290
42,Mymensing,1264,6535,1168,6086,1152,5994
43,Netrakona,538,2263,609,2497,590,2512
44,Sherpur,1248,8231,1238,8260,1249,8400
5,Mymensing,5792,32247,5757,31963,5729,32196
45,Bogura,1229,4870,1206,4939,1429,5268
46,Joypurhat,239,1024,233,946,260,1064
47,Naogaon,848,3275,831,3304,850,3321
48,Natore,551,2162,543,1944,537,1923
49,Chapai Nawabganj,200,1064,205,1091,186,962
50,Pabna,321,1270,395,1685,408,1865
51,Rajshahi,204,1024,241,1518,218,1478
52,Sirajganj,1332,8574,1159,6390,1062,6942
6,Rajshahi,4924,23263,4813,21817,4950,22823
53,Dinajpur,555,1447,518,2518,512,2154
54,Gaibandha,497,3276,891,3266,799,3168
55,Kurigram,1264,6785,1344,7192,1286,6796
56,Lalmonirhat,285,989,245,955,260,1027
57,Nilphamari,428,2033,396,1944,387,1868
58,Panchagarh,458,1346,367,1337,349,1300
59,Rangpur,715,2132,715,2108,707,2173
60,Thakurgaon,482,1499,458,1665,421,1535
7,Rangpur,4684,19507,4934,20985,4721,20021
61,Habiganj,627,3022,615,2913,612,3115
62,Maulvibazar,229,1088,232,1104,234,1109
63,Sunamganj,269,947,413,2348,386,2001
64,Sylhet,335,920,237,648,281,732
8,Sylhet,1460,5977,1497,7013,1513,6957
,BANGLADESH,62392,254633,61470,259372,63604,262702
