Name of Crops,2014-15,,2015-16,,2016-17,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Bhaidai Fodder,4186,20211,4935,29213,4438,25899
Rabi Fodder,37307,198139,36613,195216,37193,199380
Sub-Total,41493,218350,41548,224429,41631,225279
Mulberry,534,28956,463,27727,491,27065
Marry Gold,902,1467,972,1432,2020,3327
Rose Flower,281,2458,475,2802,516,19501
Others Flower,283,486,273,453,219,353
Sub Total,2000,33367,2183,32414,3246,50246
Grand Total,43493,251717,43731,256843,44877,275525
