Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,-,0,0,-,0,0
2,Barishal,-,0,0,-,0,0,-,0,0,-,0,0
3,Bhola,-,0,0,-,0,0,-,0,0,-,0,0
4,Jhallokati,-,0,0,-,0,0,-,0,0,-,0,0
5,Patuakhali,-,0,0,-,0,0,-,0,0,-,0,0
6,Pirojpur,-,0,0,-,0,0,-,0,0,-,0,0
1,Barishal,-,0,0,-,0,0,-,0,0,-,0,0
7,Bandarban,15,15,15,4,3,3,5,3,2,9,6,5
8,Brahmanbaria,-,0,0,-,0,0,-,0,0,-,0,0
9,Chandpur,-,0,0,-,0,0,-,0,0,-,0,0
10,Chittagang,-,0,0,-,0,0,-,0,0,-,0,0
11,Cumilla,6,6,6,1,1,1,-,0,0,1,1,1
12,Cox's Bazar,-,0,0,-,0,0,-,0,0,-,0,0
13,Feni,-,0,0,-,0,0,-,0,0,-,0,0
14,Khagrachhari,-,0,0,-,0,0,-,0,0,-,0,0
15,Laksmipur,-,0,0,-,0,0,-,0,0,-,0,0
16,Noakhali,-,0,0,-,0,0,-,0,0,-,0,0
17,Rangamati,16,16,16,518,384,40,2094,615,936,2612,999,976
2,Chittagang,37,37,37,523,388,44,2099,618,938,2622,1006,982
18,Dhaka,0,0,0,0,0,0,0,0,0,0,0,0
19,Faridpur,0,0,0,0,0,0,0,0,0,0,0,0
20,Gazipur,0,0,0,0,0,0,0,0,0,0,0,0
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0
22,Kishorganj,0,0,0,0,0,0,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,0,0,1,1
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0,0,0,0,0,0,0
28,Rajbari,0,3,67,396,422,396,6,0,6,402,422,402
29,Shariatpur,0,0,0,-,0,0,6,0,0,0,0,0
30,Tangail,3,3,0,12,10,0,42,40,23,54,50,23
3,Dhaka,3,6,67,12,432,396,54,40,29,456,473,426
31,Bagerhat,-,0,0,0-,0,0,-,0,0,-,0,0
32,Chuadanga,-,0,0,-,0,0,-,0,0,-,0,0
33,Jashore,-,0,0,-,0,0,-,0,0,-,0,0
34,Jhenaidah,-,0,15,-,0,42,41,28,18,41,28,60
35,Khulna,-,0,0,-,0,0,-,0,0,-,0,0
36,Kushtia,-,0,0,-,0,0,8,8,11,8,8,11
