Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,10,0,2,-,0,0,-,0,1,-,0,1
2,Barishal,-,0,0,-,0,0,-,0,0,-,0,0
3,Bhola,-,0,0,-,0,0,-,0,0,-,0,0
4,Jhallokati,-,0,0,-,0,0,-,0,0,-,0,0
5,Patuakhali,-,0,0,-,0,0,-,0,0,-,0,0
6,Pirojpur,-,0,0,-,0,0,4,0,0,4,0,0
1,Barishal,-,0,2,-,0,0,4,0,1,4,0,1
7,Bandarban,-,0,0,-,0,0,-,0,0,-,0,0
8,Brahmanbaria,-,0,0,-,0,0,6,6,4,6,6,4
9,Chandpur,-,0,0,-,0,0,-,0,0,-,0,0
10,Chittagang,-,72,74,88,93,184,92,134,81,180,227,265
11,Cumilla,81,1,1,8,1,2,10,1,1,18,2,3
12,Cox's Bazar,-,86,87,62,66,111,45,51,55,107,117,166
13,Feni,1,0,0,-,0,0,-,0,0,-,0,0
14,Khagrachhari,-,0,0,-,0,0,-,0,0,-,0,0
15,Laksmipur,-,0,0,-,0,0,-,0,0,-,0,0
16,Noakhali,-,0,0,-,0,0,-,0,0,-,0,0
17,Rangamati,-,3,8,-,4,5,2,4,3,2,8,8
2,Chittagang,5,162,170,158,164,302,155,196,144,313,360,446
18,Dhaka,87,9,9,15,15,24,10,2,1,25,17,25
19,Faridpur,8,2,2,4,3,3,4,6,5,8,9,8
20,Gazipur,2,0,14,0,0,15,0,0,0,0,0,15
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0
22,Kishorganj,0,0,12,0,2,2,2,7,8,2,9,10
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,10,10,1,4,4,0,0,0,0,4,4
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,63,63,1,2,2,0,1,0,0,3,2
27,Narsingdi,63,0,0,0,0,0,0,0,0,0,0,0
28,Rajbari,0,1,0,1,1,0,0,1,0,0,2,0
29,Shariatpur,2,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,0,2,2,0,1,1,0,2,0,0,3,1
3,Dhaka,162,87,112,22,28,51,16,19,14,35,47,65
31,Bagerhat,-,0,0,-,0,0,-,0,0,-,0,0
32,Chuadanga,6,8,8,-,2,16,2,7,8,2,9,24
33,Jashore,100,116,202,159,2316,18273,1891,32,594,2050,2348,18867
34,Jhenaidah,-,0,12,-,0,34,-,0,5,-,0,39
35,Khulna,1,0,3,1,0,1,2,0,2,3,0,3
36,Kushtia,-,0,0,-,0,0,-,0,0,-,0,0
