Bandarban,90,90,94,98,93,134,134,134,142,139
Chattagram,1189,1172,1161,1173,1145,191,190,191,193,187
Cumilla,1947,1935,1878,1903,1890,175,175,172,174,176
Khagrachhari,156,157,155,156,153,211,209,207,208,207
Noakhali,1467,1465,1521,1452,1413,213,213,215,209,209
Rangamati,116,103,121,126,123,135,129,142,145,146
Sylhet,2354,2434,2392,2446,2438,150,151,150,153,152
Dhaka,1594,1598,1572,1830,1906,168,168,164,181,184
Faridpur,2141,2059,2040,1842,1876,192,193,192,186,187
Jamalpur,1314,1297,1297,1143,1095,223,221,221,204,205
Kishoreganj,1509,1508,1548,1495,1544,173,173,174,170,173
Mymensingh,1560,1511,1466,1501,1505,211,209,206,205,205
Tangail,1029,990,1000,917,983,188,285,186,187,191
Barishal,2043,2005,2010,2024,1908,177,175,178,173,187
Jashore,2504,2453,2467,2439,2476,226,224,223,225,226
Khulna,1278,1288,1306,1417,1415,132,132,134,147,148
Kushtia,1497,1450,1475,1434,1434,271,269,268,257,257
Patuakhali,1108,1104,1061,1058,1182,148,147,142,140,146
Bogura,1705,1712,1727,1717,1721,239,239,241,241,241
Dinajpur,2581,2653,2758,2719,2918,211,214,221,221,223
Pabna,1556,1565,1677,1551,1646,203,203,217,217,222
Rajshahi,3289,3301,3458,3591,3675,190,190,198,199,202
Rangpur,3234,3300,3389,3642,3456,204,188,212,214,216
Bangladesh,37261,37150,37573,37674,38148,190,190,192,192,194
