Name of stations,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Dinajpur,-,31,2,3,186,257,293,181,424,21,-,-
Rangpur,-,26,1,15,214,255,110,362,599,9,-,-
Rajshahi,-,27,12,51,151,188,242,359,153,5,-,-
Bogura,-,46,8,43,196,585,211,226,329,64,-,-
Mymensingh,-,42,24,78,160,342,303,559,410,16,-,-
Sylhet,-,34,78,118,540,724,316,797,732,33,-,-
Srimangal,-,13,49,96,380,457,332,394,487,74,-,-
Ishurdi,3,33,32,19,129,525,182,249,179,89,-,-
Dhaka,-,12,10,80,147,342,212,391,156,49,-,-
Cumilla,-,8,17,16,195,394,227,418,296,64,-,-
Chandpur,-,20,4,40,179,509,319,258,346,98,1,-
Jashore,-,19,10,-,165,286,435,180,186,37,-,-
Faridpur,-,12,-,29,191,446,246,381,165,82,-,-
Madaripur,-,12,7,25,175,362,209,308,257,81,-,-
Khulna,-,24,5,-,118,447,394,258,205,10,-,-
Satkhira,-,31,36,-,162,330,243,175,242,79,-,-
Barishal,-,15,13,-,235,341,277,253,254,66,-,-
Bhola,-,16,14,9,129,479,299,496,269,51,-,-
Feni,-,14,21,5,243,701,370,603,456,97,-,-
M.court,-,20,58,42,215,710,557,667,434,108,2,-
Hatiya,-,27,14,2,158,916,702,603,435,269,2,-
Sitakunda,-,25,21,27,194,995,508,757,350,87,-,-
Sandwip,-,34,32,33,218,1167,549,960,414,58,3,-
Kutubdia,-,48,4,55,103,1055,620,545,449,80,1,-
Cox's Bazar,-,29,1,4,139,677,717,611,264,41,-,-
Rangamati,-,23,17,1,339,610,161,294,316,152,10,-
Teknaf,-,22,0,1,78,887,894,1022,507,65,30,1
Patuakhali,-,3,2,14,301,406,543,349,279,131,-,-
Khepupara,-,31,3,7,189,342,460,441,270,133,-,1
Sayedpur,-,26,7,6,157,366,200,470,411,45,-,-
Tangail,-,24,24,47,127,585,239,234,320,41,-,-
Mongla,-,35,2,2,222,308,302,221,200,136,-,-
Chuadanga,1,37,54,-,53,236,179,271,163,96,-,-
Chattagram,-,37,18,43,304,1494,395,692,363,104,-,-
Ambagan(Ctg.),-,40,32,30,368,1235,389,599,355,107,1,-
