"Name of
Distict/Division",January,,,,February,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,241,211,211,181,260,210,222,179
Jhenaidah,248,198,218,168,258,206,232,177
Magura,261,-,230,-,270,-,242,-
Narial,242,-,207,-,265,-,208,-
Khulna,307,237,272,-,270,207,234,180
Bagerhat,251,200,216,165,290,220,253,-
Satkhira,259,-,-,-,281,215,-,-
Kushita,282,-,252,-,285,-,252,-
Chuadang,244,-,214,-,264,-,234,-
Meherpur,252,-,217,167,259,204,223,176
Khulna Division,259,212,226,170,270,210,233,174
Rajshahi,250,190,215,162,239,208,206,180
Noagoan,256,201,221,171,235,185,201,155
Natore,251,192,221,162,236,162,207,134
Nawbganj,248,190,213,160,207,177,172,144
Bogura,260,-,228,-,253,-,218,-
Joypurhat,240,190,205,-,288,230,258,202
Pabna,285,227,247,192,285,211,241,180
Sirajganj,257,195,222,-,262,152,228,-
Rajshahi Division,256,198,222,169,251,189,216,166
Rangpur,233,162,203,132,247,190,230,160
Gaibanda,225,171,-,-,238,194,-,-
Kurigarm,246,200,211,170,262,204,208,165
Nilphamari,249,189,219,159,250,188,223,153
Lalmonirhat,251,198,221,168,240,182,210,150
Dinajpur,251,209,225,185,258,228,224,192
Thakurgaon,260,215,233,190,255,197,222,1 6 7
Panchagar,301,208,266,178,273,214,238,187
Rangpur Division,252,194,225,169,253,200,222,168
Bangladesh,286,224,252,192,289,229,253,188
