"Name of
Distict/Division",May,,,,June,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,280,224,262,205,242,189,226,173
Jhenaidah,301,225,280,200,243,168,225,152
Magura,303,-,280,-,240,-,224,-
Narial,287,200,270,-,241,-,235,-
Khulna,291,240,270,220,274,145,256,142
Bagerhat,316,246,296,-,295,180,225,-
Satkhira,292,220,-,-,270,-,260,-
Kushita,276,-,260,-,277,-,263,-
Chuadang,202,-,195,-,201,-,200,-
Meherpur,220,165,200,144,200,-,185,140
Khulna Division,277,217,257,192,248,171,230,152
Rajshahi,251,218,239,210,245,210,233,205
Noagoan,242,190,220,172,243,203,237,193
Natore,238,210,221,198,232,181,218,167
Nawbganj,220,207,202,190,210,195,190,182
Bogura,250,-,230,-,250,-,240,-
Joypurhat,290,233,290,-,268,223,263,218
Pabna,332,265,321,255,315,261,300,246
Sirajganj,363,267,340,-,300,250,285,-
Rajshahi Division,273,227,258,205,258,218,246,202
Rangpur,254,166,240,160,250,170,240,160
Gaibanda,272,213,253,298,225,165,-,-
Kurigarm,230,170,222,152,220,170,210,160
Nilphamari,235,175,225,155,230,170,216,156
Lalmonirhat,270,205,255,185,245,185,235,175
Dinajpur,260,200,242,182,255,195,238,178
Thakurgaon,293,256,272,231,250,180,240,170
Panchagar,263,207,247,196,250,190,240,180
Rangpur Division,260,199,245,195,241,178,231,168
Bangladesh,312,245,296,223,290,216,273,208
