"Name of
Distict/Division",July,,,,August,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,335,226,300,184,339,245,309,209
Khagrachhari,299,213,264,178,301,216,265,180
Rangamati,374,264,340,230,385,265,360,240
Chattagram,410,305,401,295,419,305,402,295
Coxs Bazar,391,275,380,265,370,286,357,275
Cumilla,300,200,283,185,337,235,320,218
Chandpur,290,-,275,-,282,-,270,-
Brahmmanbaria,299,-,282,-,293,-,270,-
Noakhali,305,-,290,-,312,-,-,-
Lakshmipur,300,250,286,-,300,-,285,-
Feni,310,200,300,-,350,-,334,-
Chattagram,328,242,309,223,335,256,317,236
Sylhet,283,230,270,215,286,231,272,216
"Division
Maulavi Bazar",301,206,285,190,305,210,290,194
DSuivniasmiognamnDj ivision,282,212,265,196,281,214,266,198
Habiganj,280,214,263,195,291,224,270,200
Sylhet Division,287,216,271,199,291,220,275,202
Dhaka,357,300,340,285,343,288,325,265
Gagipur,338,250,318,232,346,325,325,300
Manikganj,325,234,296,206,306,220,288,203
Munshiganj,323,-,-,-,315,-,-,-
Narayanganj,312,267,295,250,328,-,310,256
Narsindhi,344,-,325,-,357,-,340,-
Faridpur,341,-,322,266,391,-,377,315
Rajbari,313,-,293,-,325,-,283,-
Madaripur,275,-,-,-,300,-,-,-
Gopalganj,282,250,250,228,281,245,265,230
Sariatpur,281,-,262,-,277,-,260,-
Mymensingh,294,248,278,244,322,254,310,240
Jamalpur,329,-,320,211,331,-,312,246
Sherpur,295,230,288,-,307,-,288,-
Tangail,276,168,263,154,313,210,295,190
Kishoerganj,-,-,285,-,-,-,278,-
Natrokona,282,262,259,238,293,270,286,265
Dhaka Division,310,245,294,231,321,261,303,251
Barishal,300,-,290,-,318,-,300,-
Jhalokathi,383,-,366,-,403,-,385,-
Perojpur,315,-,300,-,335,-,305,-
Bhola,323,-,305,-,334,-,318,-
Patuakhali,286,-,270,-,312,-,300,-
Barguna,333,-,314,-,334,-,320,-
Barishal Division,323,-,306,-,339,-,321,-
