"Name of
Distict/Division",September,,,,October,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,337,239,320,225,344,246,332,234
Khagrachhari,301,213,287,200,303,221,291,209
Rangamati,371,272,356,258,379,289,369,279
Chattagram,424,332,420,328,402,307,388,293
Coxs Bazar,367,300,355,284,375,302,362,289
Cumilla,334,240,320,216,339,-,324,224
Chandpur,273,-,280,-,290,-,-,-
Brahmmanbaria,325,225,306,215,310,-,294,-
Noakhali,310,-,283,-,313,-,-,-
Lakshmipur,300,-,285,-,310,-,296,-
Feni,342,250,325,-,350,-,340,-
Chattagram,335,259,322,247,338,273,333,255
Sylhet,287,200,272,184,297,232,284,219
"Division
Maulavi Bazar",301,215,285,199,287,205,274,192
DSuivniasmiognamnDj ivision,286,230,272,216,289,223,275,209
Habiganj,274,224,260,210,275,205,263,193
Sylhet Division,287,217,272,202,287,216,274,203
Dhaka,333,250,320,237,347,300,334,287
Gagipur,340,255,326,241,361,303,346,288
Manikganj,301,232,286,217,325,236,312,223
Munshiganj,306,-,-,-,292,-,-,-
Narayanganj,316,250,300,234,325,260,308,243
Narsindhi,345,-,329,-,336,-,322,-
Faridpur,350,-,334,248,313,-,300,231
Rajbari,325,-,311,-,300,-,283,-
Madaripur,277,-,-,-,263,-,-,-
Gopalganj,280,210,266,-,286,216,273,203
Sariatpur,281,-,267,-,269,-,255,-
Mymensingh,305,250,291,236,285,252,272,239
Jamalpur,325,-,312,-,334,-,319,230
Sherpur,312,266,298,-,293,200,284,-
Tangail,300,200,286,186,283,184,271,172
Kishoerganj,-,-,284,-,-,-,279,-
Natrokona,286,258,270,242,270,230,260,-
Dhaka Division,311,241,299,230,305,242,295,235
Barishal,316,-,300,-,314,-,309,-
Jhalokathi,393,-,389,-,386,-,373,-
Perojpur,327,-,315,-,300,-,290,-
Bhola,320,-,305,-,317,-,305,-
Patuakhali,310,-,300,-,312,-,300,-
Barguna,325,-,314,-,310,-,300,-
Barishal Division,332,-,321,-,323,-,313,-
