"Name of
Distict/Division",November,,,,December,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,270,200,256,186,265,200,250,186
Jhenaidah,274,203,260,190,270,202,260,193
Magura,288,-,274,-,288,-,279,-
Narial,253,146,228,-,268,180,254,167
Khulna,259,195,242,178,277,207,265,196
Bagerhat,300,200,285,-,312,220,298,-
Satkhira,246,170,232,-,251,165,-,-
Kushita,217,-,222,-,279,-,265,-
Chuadang,212,-,200,-,218,-,209,-
Meherpur,200,165,188,148,200,150,185,137
Khulna Division,251,183,239,176,263,189,252,176
Rajshahi,249,209,241,200,250,210,242,203
Noagoan,242,198,230,186,246,202,234,192
Natore,250,180,240,185,254,183,246,177
Nawbganj,227,190,219,192,234,197,224,188
Bogura,289,-,275,-,292,-,280,-
Joypurhat,293,233,284,224,297,236,291,231
Pabna,320,250,305,245,300,232,289,222
Sirajganj,270,205,255,-,270,205,260,196
Rajshahi Division,268,209,256,205,268,209,258,201
Rangpur,285,190,275,180,290,192,280,182
Gaibanda,285,180,-,-,288,183,-,-
Kurigarm,295,190,285,180,297,192,287,184
Nilphamari,280,190,270,180,285,195,275,185
Lalmonirhat,285,185,280,180,287,188,282,183
Dinajpur,290,195,280,185,294,199,284,189
Thakurgaon,280,200,270,190,284,204,274,194
Panchagar,300,200,290,190,302,202,291,191
Rangpur Division,288,191,279,184,291,194,282,187
Bangladesh,300,223,287,215,302,225,291,215
