Name of Distict/Division,March,,,,April,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,210,159,196,131,255,233,221,207
Jhenaidah,254,170,239,150,290,243,274,216
Magura,268,-,242,-,280,-,266,-
Narial,237,138,220,-,288,205,-,-
Khulna,269,143,250,128,319,245,300,208
Bagerhat,312,210,290,-,347,270,308,-
Satkhira,235,158,-,-,290,205,-,-
Kushita,276,-,229,-,306,-,265,-
Chuadang,206,-,201,-,225,-,200,148
Meherpur,183,160,171,-,185,-,168,150
Khulna Division,245,163,226,136,279,234,250,186
Rajshahi,251,212,229,200,278,221,254,209
Noagoan,235,198,223,186,259,200,236,200
Natore,242,186,242,180,239,200,202,188
Nawbganj,217,192,206,172,214,190,204,180
Bogura,240,200,230,200,280,200,260,200
Joypurhat,260,228,240,210,263,230,243,200
Pabna,283,200,271,200,300,209,272,200
Sirajganj,251,204,240,200,287,256,278,220
Rajshahi Division,247,203,235,194,265,213,244,200
Rangpur,230,150,215,135,260,160,245,140
Gaibanda,210,155,-,-,230,210,-,-
Kurigarm,210,140,205,130,235,170,220,160
Nilphamari,230,125,210,120,240,165,200,145
Lalmonirhat,210,155,200,130,265,200,245,175
Dinajpur,245,200,235,185,240,200,210,185
Thakurgaon,220,175,205,170,240,220,205,200
Panchagar,250,195,235,180,250,195,235,185
Rangpur Division,226,162,215,150,245,190,223,170
Bangladesh,285,212,267,196,308,243,284,217
