Name of Distict/Division,January,,,,February,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,356,269,325,235,356,247,330,219
Khagrachhari,326,220,0,0,318,225,0,0
Rangamati,363,251,330,222,368,253,335,225
Chattagram,419,345,404,320,422,331,400,310
Coxs Bazar,420,320,405,300,408,330,400,300
Cumilla,319,280,293,265,320,276,313,260
Chandpur,350,260,325,0,352,250,325,0
Brahmmanbaria,355,270,335,250,350,275,330,250
Noakhali,384,0,360,0,385,0,360,0
Lakshmipur,315,190,300,170,320,0,300,0
Feni,343,0,328,0,347,0,330,0
Chattagram Division,359,267,333,252,359,273,342,261
"Sylhet
DivisionmDivision",315,250,295,215,311,240,295,230
Maulavi Bazar,306,259,273,225,318,259,280,225
Sunamganj,310,240,275,205,302,240,275,210
Habiganj,300,250,276,220,310,250,280,220
Sylhet Division,308,250,282,216,310,255,283,221
Dhaka,390,310,368,300,390,317,370,300
Gagipur,431,332,400,300,427,330,393,305
Manikganj,336,250,305,215,346,248,310,220
Munshiganj,347,0,339,330,350,0,335,0
Narayanganj,375,280,358,265,375,280,358,265
Narsindhi,330,254,304,213,335,250,305,220
Faridpur,313,0,285,0,316,0,290,0
Rajbari,319,255,300,0,320,255,313,0
Madaripur,300,225,275,205,300,225,275,205
Gopalganj,313,250,290,235,319,250,300,235
Sariatpur,310,215,285,200,315,215,300,0
Mymensingh,345,260,330,230,340,280,320,260
Jamalpur,346,0,325,229,350,0,320,0
Sherpur,339,290,320,0,346,0,325,0
Tangail,350,280,315,250,350,270,320,240
Kishoerganj,338,250,311,0,335,250,310,0
Natrokona,339,300,310,0,325,300,315,0
Dhaka Division,342,268,319,248,343,267,321,250
Barishal,362,0,338,200,360,0,336,220
Jhalokathi,380,0,360,0,383,0,360,0
Perojpur,364,217,344,200,358,233,345,213
Bhola,360,0,335,0,358,0,340,0
Patuakhali,329,0,315,0,329,0,315,0
Barguna,372,0,341,0,373,0,341,0
Barishal Division,362,217,339,200,360,233,340,217
