Name of Distict/Division,July,,,,August,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,354,263,330,235,346,255,325,230
Khagrachhari,320,230,0,0,308,225,0,0
Rangamati,410,298,380,265,398,283,385,270
Chattagram,438,335,425,310,438,324,420,300
Coxs Bazar,417,335,404,320,425,350,396,320
Cumilla,340,290,310,265,337,278,320,260
Chandpur,323,250,300,0,328,250,300,0
Brahmmanbaria,365,270,330,258,370,0,330,255
Noakhali,360,0,335,0,372,0,340,0
Lakshmipur,345,0,315,0,345,0,315,0
Feni,359,0,350,0,376,0,350,0
Chattagram Division,366,284,348,276,368,281,348,273
"Sylhet
DivisionmDivision",329,250,312,230,332,250,315,230
Maulavi Bazar,328,259,300,225,332,263,300,225
Sunamganj,295,223,270,221,302,218,275,208
Habiganj,346,256,325,230,331,254,305,230
Sylhet Division,325,247,302,227,324,246,299,223
Dhaka,394,350,384,0,402,360,380,320
Gagipur,429,350,398,325,435,350,410,327
Manikganj,364,280,335,265,365,270,350,243
Munshiganj,341,250,320,230,326,250,305,225
Narayanganj,374,310,360,285,370,285,350,260
Narsindhi,363,270,335,250,379,272,355,250
Faridpur,350,0,320,0,375,0,350,0
Rajbari,340,300,310,0,350,300,315,0
Madaripur,317,267,305,245,321,242,300,225
Gopalganj,343,300,325,280,354,300,338,285
Sariatpur,359,267,332,245,343,254,320,0
Mymensingh,390,280,375,250,348,240,330,210
Jamalpur,380,0,365,259,380,0,360,234
Sherpur,332,0,327,0,346,0,320,0
Tangail,335,250,310,220,333,250,308,225
Kishoerganj,331,0,306,0,330,0,326,0
Natrokona,360,305,330,0,350,0,329,0
Dhaka Division,359,291,337,259,359,281,338,255
Barishal,373,0,353,0,364,283,354,290
Jhalokathi,437,0,410,0,440,0,405,0
Perojpur,359,300,344,290,392,288,375,265
Bhola,392,0,370,0,388,0,360,0
Patuakhali,360,0,325,0,363,0,330,0
Barguna,376,0,341,0,371,0,355,0
Barishal Division,383,300,357,290,386,286,363,278
