SLNo,Nane of Region,Aman,Boro,Wheat,"Sugar-
cane",Cotton,Potato,Vegetables,"Other
Crops","Total Irrigated
Area"
1,Bandarban,-,8,-,-,1,2,2,1,14
2,Khagrachari,12,27,-,1,3,2,10,3,58
3,Rangamati,0,18,-,-,-,1,5,3,27
4,Chattagram,12,167,-,2,1,11,52,24,269
5,Coxs Bazar,0,123,-,1,-,2,18,9,153
6,Cumilla,8,379,2,,-,20,19,23,451
7,Chandpur,-,160,,2,-,15,7,1,185
8,Brahmmanbaria,14,242,2,-,-,1,8,1,268
9,Noakhali,2,152,-,-,-,,23,1,178
10,Lakshmipur,-,114,-,-,-,,4,3,120
11,Feni,-,74,-,-,-,1,5,1,81
1,Chattagram Division,48,1464,4,6,5,55,153,70,1804
12,Sylhet,15,163,1,-,-,3,17,10,209
13,Maulavi Bazar,-,87,-,-,-,3,8,4,102
14,Sunamganj,59,277,-,-,-,1,8,14,359
15,Habiganj,28,172,-,-,-,4,9,5,218
2,Sylhet Division,102,699,1,-,-,11,42,33,888
16,Dhaka,5,114,,-,-,2,9,-,130
17,Gagipur,13,158,,-,-,-,7,1,179
18,Manikganj,10,119,1,-,-,3,2,14,149
19,Munshiganj,1,58,,-,-,65,5,1,130
20,Narayanganj,4,58,,-,-,3,14,1,80
21,Narsindhi,13,122,,-,-,-,32,4,171
22,Faridpur,57,64,75,6,-,1,14,87,304
23,Rajbari,73,79,36,-,-,-,8,14,210
24,Madaripur,5,76,12,-,-,2,6,27,128
25,Gopalganj,9,185,13,-,-,1,5,5,218
26,Sariatpur,17,59,6,-,-,2,9,10,103
27,Mymensingh,15,640,2,1,-,2,28,4,692
28,Jamalpur,48,308,15,6,--,9,13,16,415
29,Sherpur,8,220,3,-,-,6,14,4,255
30,Tangail,68,417,1,1,-,2,20,10,519
31,Kishoerganj,7,400,3,-,-,9,8,5,432
32,Netrokona,20,406,2,-,-,1,4,3,436
3,Dhaka Division,373,3483,169,14,-,108,198,206,4551
33,Barishal,2,138,2,-,-,1,15,3,161
34,Jhalokathi,1,37,-,-,-,,4,2,44
35,Perojpur,-,45,-,-,-,3,10,3,61
36,Bhola,-,116,4,1,2,7,15,1,146
37,Patuakhali,1,3,-,-,-,2,4,21,31
38,Barguna,-,15,-,-,-,2,7,2,26
4,Barishal Division,4,354,6,1,2,15,55,32,469
39,Jashore,125,366,8,1,2,7,41,38,588
40,Jhenaidah,134,190,16,4,4,4,34,65,451
41,Magura,69,92,23,-,-,-,30,59,273
42,Narial,32,90,9,1,-,,8,3,143
43,Khulna,3,127,2,,-,1,19,13,165
44,Bagerhat,1,102,1,,-,1,16,2,123
45,Satkhira,8,172,4,,-,9,40,5,238
46,Kushtia,178,90,44,9,3,5,38,123,490
47,Chuadanga,107,104,13,12,14,18,66,129,463
48,Meherpur,59,50,43,2,1,3,53,82,293
5,Khulna Division,716,1383,163,29,24,48,345,519,3227
49,Rajshahi,95,162,68,24,-,86,29,122,586
50,Noagoan,211,467,51,1,-,50,35,84,899
51,Natore,78,161,61,24,-,2,5,41,372
52,Nawbganj,56,113,66,16,-,4,8,69,332
53,Bogura,69,456,4,-,1,123,20,51,724
54,Joypurhat,17,175,6,2,-,87,10,5,302
55,Pabna,65,150,78,3,-,2,9,57,364
56,Sirajganj,101,344,5,1,-,3,15,24,493
6,Rajshahi Division,692,2028,339,71,1,357,131,453,4072
57,Rangpur,25,329,8,1,-,119,16,24,522
58,Gaibanda,37,283,4,1,-,20,26,19,390
59,Kurigram,14,240,24,-,-,12,8,6,304
60,Nilphamari,18,214,12,-,-,49,12,24,329
61,Lalmonirhat,24,131,13,-,-,11,7,51,237
62,Dinajpur,169,430,51,5,-,105,23,112,895
63,Thakurgaon,36,145,143,5,-,55,9,30,423
64,Panchagar,1,99,36,2,-,24,10,20,192
7,Rangpur Division,324,1871,291,14,-,395,111,286,3292
,BANGLADESH,2259,11282,973,135,32,989,1035,1599,18303
