"SL
No",Nane of Region,Aman,Boro,Wheat,"Sugar
-cane",Cotton,"Potat
o","Vegetable
s","Other
Crops","Total
Irrigated Area"
33,Barisal,2,139,2,‘’,0,1,15,2,161
34,Jhalokathi,1,25,‘’,‘’,0,‘’,16,2,44
35,Perojpur,0,43,‘’,‘’,0,3,13,3,62
36,Bhola,2,104,3,1,0,6,19,‘’,135
37,Patuakhali,2,1,1,‘’,0,1,3,32,40
38,Barguna,‘’,15,0,‘’,0,2,7,2,26
,Barisal Division,7,327,6,1,0,13,73,41,468
39,Jessore,136,366,1,1,2,7,52,37,622
40,Jhenaidah,146,206,8,3,4,4,36,86,493
41,Magura,83,88,18,‘’,‘’’,‘’,32,58,279
42,Narial,28,87,11,1,0,‘’,8,6,141
43,Khulna,3,132,2,‘’,0,2,27,9,175
44,Bagerhat,1,104,1,‘’,0,1,14,5,126
45,Satkhira,8,174,4,‘’,0,8,40,6,240
46,Kushtia,189,85,19,9,2,5,46,154,509
47,Chuadanga,107,104,13,12,14,18,66,136,470
48,Meherpur,59,50,10,2,‘’,3,71,104,299
,Khulna Division,780,1396,87,28,22,48,392,601,3354
49,Rajshahi,102,159,62,18,‘’,104,50,129,624
50,Noagoan,226,466,57,1,0,56,35,78,919
51,Natore,91,141,56,32,‘’,2,8,37,367
52,Nawbganj,66,113,65,3,0,3,8,54,332
53,Bogra,91,459,6,1,‘’,160,29,45,791
54,Joypurhat,17,173,6,2,0,80,10,4,292
55,Pabna,89,145,77,3,0,2,17,82,416
56,Sirajganj,90,340,6,1,0,3,16,33,489
,Rajshahi Division,772,1966,335,61,0,410,173,458,4232
57,Rangpur,39,338,9,2,‘’,117,19,22,546
58,Gaibanda,38,311,5,1,‘’,21,27,21,424
59,Kurigram,19,244,23,‘’,0,18,10,5,319
60,Nilphamari,42,210,17,‘’,‘’,54,13,31,367
61,Lalmonirhat,26,123,4,‘’,‘’,12,7,59,231
62,Dinajpur,181,430,40,5,‘’,114,42,136,948
63,Thakurgaon,42,142,165,15,0,59,12,36,471
64,Panchagar,1,64,34,1,0,19,11,28,158
,Rangpur Division,338,1862,297,24,0,414,141,338,3464
,BANGLADESH,2496,11240,914,135,25,1082,1169,1759,18820
