Sl. No.,Species/Group,"Inland
Fisheries","Marine
Fisheries",Total,%
1,Major Carp,750880,0,750880,19.36
2,Other Carp,80647,0,80647,2.08
3,Exotic Carp,357933,0,357933,9.23
4,Pangas (Cat Fish),504674,0,504674,13.01
5,Other Cat Fish,65130,0,65130,1.68
6,Snake Head,70106,0,70106,1.81
7,Live Fish,136113,0,136113,3.51
8,Tilapia,377346,0,377346,9.73
9,Other Inland fish,568446,0,568446,14.66
10,Hilsha/Illish (Tenualosa ilisha),140756,254195,394951,10.18
11,Shrimp/Prawn,186605,47583,234188,6.04
12,Crab,13160,0,13160,0.34
13,Sardine (Sardinella fimbriata),0,44386,44386,1.14
14,Bombay Duck (Harpondon nehereus),0,58545,58545,1.51
15,Indian Salmon (Polydactylus indicus),0,895,895,0.02
16,Pomfret (Rup/ Hail/ Foli Chanda),0,10593,10593,0.27
17,"Jew Fish (Poa, Lambu, Kaladatina etc.)",0,31894,31894,0.82
18,Sea Cat Fish (Tachysurus spp.),0,8695,8695,0.22
19,Shark/ Skate / Ray,0,4622,4622,0.12
20,Other Marine Fish,0,165120,165120,4.26
T O T A L,Metric Ton,3251796,626528,3878324,100.00
,%,83.85,16.15,100.00,
