Sl. No.,Species/Group,"Inland
Fisheries","Marine
Fisheries",Total,%
1,Major Carp,811588,0,811588,19.63
2,Other Carp,100730,0,100730,2.44
3,Exotic Carp,409801,0,409801,9.91
4,Pangas (Cat Fish),510097,0,510097,12.34
5,Other Cat Fish,66646,0,66646,1.61
6,Snake Head,72991,0,72991,1.77
7,Live Fish,127120,0,127120,3.07
8,Tilapia,370017,0,370017,8.95
9,Other Inland fish,598923,0,598923,14.49
10,Hilsha/Illish (Tenualosa ilisha),217469,278948,496417,12.01
11,Shrimp/Prawn,197155,49619,246774,5.97
12,Crab,14421,0,14421,0.35
13,Sardine (Sardinella fimbriata),0,48704,48704,1.18
14,Bombay Duck (Harpondon nehereus),0,69230,69230,1.67
15,Indian Salmon (Polydactylus indicus),0,775,775,0.02
16,Pomfret (Rup/ Hail/ Foli Chanda),0,10686,10686,0.26
17,"Jew Fish (Poa, Lambu, Kaladatina etc.)",0,33768,33768,0.82
18,Sea Cat Fish (Tachysurus spp.),0,8424,8424,0.20
19,Shark/ Skate / Ray,0,4495,4495,0.11
20,Other Marine Fish,0,132827,132827,3.21
T O T A L,Metric Ton,3496958,637476,4134434,100.00
,%,84.58,15.42,100.00,
