District,,,River,,,"Sundar
bans",,,Beel,,,"Kaptai
Lake",,,"Flood
Plain",,,Pond,,,"Seasonal
cultured
water
body",,,Baor,,,"Shrimp/
Prawn
Farm",,,"Pen
Culture",,,"Cage
Culture",,,Total,,
,Dinajpur,,,194,,,0,,,490,,,0,,,5782,,,30430,,,3366,,,0,,,3,,,0,,,0,,,40265,
,Gaibandha,,,524,,,0,,,448,,,0,,,5466,,,16167,,,704,,,0,,,3,,,49,,,7,,,23368,
,Kurigram,,,592,,,0,,,1082,,,0,,,10454,,,11687,,,3037,,,0,,,0,,,91,,,12,,,26955,
,Lalmonirhat,,,135,,,0,,,377,,,0,,,1451,,,8154,,,1284,,,0,,,3,,,100,,,2,,,11506,
,Nilphamari,,,131,,,0,,,322,,,0,,,3050,,,12616,,,157,,,0,,,2,,,0,,,0,,,16278,
,Panchagarh,,,80,,,0,,,50,,,0,,,2546,,,8075,,,89,,,0,,,0,,,0,,,0,,,10840,
,Rangpur,,,101,,,0,,,1709,,,0,,,8052,,,17081,,,1350,,,0,,,1,,,60,,,8,,,28362,
,Thakurgaon,,,75,,,0,,,193,,,0,,,3663,,,18142,,,21,,,0,,,2,,,0,,,0,,,22096,
Rang. Div.,,,,,,0,,,4672,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,1832,,,,,,,,,0,,,40464,,,122352,,,10009,,,,,,13,,,301,,,29,,,179672,
,Bogura,,,675,,,0,,,2420,,,0,,,4310,,,57319,,,733,,,0,,,3,,,12,,,0,,,65472,
,C.Nawabganj,,,1180,,,0,,,3169,,,0,,,1840,,,8060,,,108,,,0,,,0.,,,77,,,77,,,14511,
,Joypurhat,,,129,,,0,,,125,,,0,,,135,,,23418,,,83,,,0,,,4.,,,0,,,0,,,23894,
,Naogaon,,,1153,,,0,,,4131,,,0,,,16322,,,44163,,,272,,,0,,,0.00,,,0,,,0,,,66041,
,Natore,,,867,,,0,,,874,,,0,,,13996,,,29518,,,408,,,0,,,13,,,17,,,0,,,45693,
,Pabna,,,2362,,,0,,,1398,,,0,,,9674,,,39030,,,9021,,,0,,,1.,,,0,,,26,,,61512,
,Rajshahi,,,1454,,,0,,,3497,,,0,,,6727,,,47687,,,6776,,,0,,,7,,,28,,,0,,,66176,
,Sirajganj,,,2455,,,0,,,636,,,0,,,31252,,,18652,,,3021,,,0,,,2,,,5,,,21,,,56044,
Raj. Div.,,,,,,0,,,16249,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,10275,,,,,,,,,0,,,84258,,,267847,,,20422,,,,,,30,,,139,,,125,,,399345,
,Bandarban,,,98,,,0,,,0,,,0,,,124,,,934,,,0,,,0,,,0,,,0,,,0,,,1156,
,Brahmanbaria,,,1021,,,0,,,443,,,0,,,20084,,,27296,,,2658,,,0,,,1,,,378,,,8,,,51889,
,Chandpur,,,21796,,,0,,,293,,,0,,,22716,,,39941,,,1848,,,0,,,63,,,0,,,238,,,86895,
,Chattagram,,,1992,,,0,,,33,,,0,,,615,,,51901,,,0,,,0,,,1380,,,0,,,0,,,55921,
,Cumilla,,,554,,,0,,,260,,,0,,,69347,,,115257,,,31984,,,0,,,2904,,,4,,,8,,,220318,
,Cox's Bazar,,,1486,,,0,,,0,,,0,,,1128,,,4574,,,80,,,0,,,21909,,,0,,,0,,,29177,
,Feni,,,937,,,0,,,0,,,0,,,6442,,,21997,,,106,,,0,,,42,,,0,,,42,,,29566,
,Khagrachari .,,,139,,,0,,,46,,,0,,,36,,,3459,,,0,,,0,,,0,,,0,,,0,,,3680,
,Lakshmipur,,,12523,,,0,,,0,,,0,,,10041,,,27652,,,775,,,0,,,57,,,0,,,14,,,51062,
,Noakhali,,,8075,,,0,,,0,,,0,,,29861,,,41281,,,5544,,,0,,,305,,,0,,,0,,,85066,
,Rangamati,,,140,,,0,,,0,,,9589,,,0,,,1106,,,35,,,0,,,0.00,,,62,,,3,,,10935,
Ctg. Div.,,,,,,0,,,1075,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,48761,,,,,,,,,9589,,,160394,,,335398,,,43031,,,,,,26661,,,445,,,313,,,625667,
,Habiganj,,,521,,,0,,,3658,,,0,,,34880,,,16544,,,337,,,0,,,0,,,118,,,25,,,56083,
,Moulvi Bazar,,,318,,,0,,,4188,,,0,,,20204,,,13381,,,769,,,0,,,4,,,0,,,0,,,38864,
,Sunamganj,,,677,,,0,,,23204,,,0,,,59072,,,7500,,,1124,,,0,,,0,,,107,,,18,,,91702,
,Sylhet,,,567,,,0,,,4972,,,0,,,36994,,,15317,,,8969,,,0,,,1,,,225,,,0,,,67045,
Sylhet Div.,,,,,,0,,,36021,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,2083,,,,,,,,,0,,,151150,,,52742,,,11199,,,,,,5,,,450,,,43,,,253693,
Total,,,178458,,,16870,,,95453,,,9589,,,747872,,,1719783,,,207658,,,7729,,,252958,,,13364,,,2062,,,3251796,,
,,,5.49,,,0.52,,,2.94,,,0.29,,,23.00,,,52.89,,,6.39,,,0.24,,,7.78,,,0.41,,,0.06,,,100.00,,
,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
