"Sl.
No.",Species,,,,,,,,,,,,,,,,,,,"Other
River",Total,%
,,,Lower,,,Upper,,,Lower,,,Upper,,,,,,Brahma,,,,
,,,,,,,,,,,,,,,Jamuna,,,,,,,
,,,Meghna,,,Meghna,,,Padma,,,Padma,,,,,,Putra,,,,
1,Rui,30,,,100,,,100,,,104,,,70,,,13,,,1081,1498,0.84
2,Catla,18,,,53,,,54,,,71,,,51,,,10,,,607,865,0.48
3,Mrigal,13,,,49,,,43,,,28,,,44,,,4,,,452,633,0.35
4,Kalibaus,0,,,11,,,22,,,21,,,14,,,3,,,167,240,0.13
5,Bata,539,,,36,,,0,,,0,,,2,,,0,,,169,746,0.42
6,Ghonia,0,,,6,,,0,,,0,,,0,,,0,,,12,18,0.01
7,Pangas,121,,,21,,,24,,,85,,,0,,,0,,,109,361,0.20
8,Boal/Air,93,,,60,,,111,,,97,,,110,,,43,,,646,1160,0.65
9,Shol/Gazar/Taki,0,,,0,,,0,,,0,,,0,,,0,,,373,373,0.21
10,Koi,0,,,0,,,0,,,0,,,0,,,0,,,49,49,0.03
11,Shingi/Magur,0,,,0,,,0,,,0,,,0,,,0,,,48,48,0.03
12,Sarpunti,0,,,0,,,0,,,0,,,0,,,0,,,6,6,0.00
13,"Other Inland
Fish",2770,,,2166,,,1484,,,2052,,,1900,,,311,,,17874,25958,14.55
14,Hilsa/Illish,110281,,,721,,,1732,,,131,,,118,,,33,,,25032,140647,78.81
15,Galda,133,,,49,,,13,,,8,,,5,,,2,,,128,338,0.19
16,Bagda,0,,,0,,,0,,,0,,,0,,,0,,,17,17,0.01
17,Harina,0,,,0,,,0,,,0,,,0,,,0,,,1468,1468,0.82
18,Chaka,0,,,0,,,0,,,0,,,0,,,0,,,6,6,0.00
19,"Other small
shrimp/prawn",287,,,137,,,227,,,88,,,157,,,43,,,3089,4027,2.26
Total,,114284,,,3410,,,3810,,,2685,,,2473,,,462,,,51334,178458,100.00
