"Sl.
No.",Species,Jamuna,,,,,,,,Brahmaputra,,,,Total
,,"j
n
a
g
k
in
a
M","a
n
b
a
P","lia
g
n
a
T","j
n
a
g
j
a
r
iS","a
r
u
g
o
B","r
u
p
la
m
a
J","a
h
d
n
a
b
ia
G","Sub-
Total","r
u
p
la
m
a
J","a
h
d
n
a
b
ia
G","m
a
r
g
ir
u
K","Sub-
Total",
1,Rui,4,6,15,15,3,24,2,70,7,4,2,13,83
2,Catla,2,3,10,17,2,14,2,51,5,3,2,10,61
3,Mrigal,1,2,11,17,1,10,1,44,2,1,1,4,48
4,Kalibaus,1,0,8,2,0,3,0,14,2,1,0,3,17
5,Bata,0,1,0,1,0,0,0,2,0,0,0,0,2
6,Ghonia,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Pangas,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boal/Air,20,18,36,2,6,18,9,110,11,17,14,43,153
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Other Inland Fish,222,356,257,855,16,145,48,1900,81,46,185,374,2274
14,Hilsa/Illish,36,14,12,20,1,32,3,118,24,2,6,33,151
15,Galda,0,1,2,0,1,0,1,5,1,1,0,2,7
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Other small shrimp/prawn,29,22,33,17,22,14,19,157,10,19,13,43,200
Total,,315,425,385,948,53,261,86,2471,144,95,223,525,2996
