"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,"Highly
Intensive",,Total,,
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,4> - 10 MT/Ha,,10.0> MT/Ha,,,,
,,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,MT/Ha
34,Dinajpur,600,1001,6086,20330,1472,9099,0,0,8158,30430,3.730
35,Gaibandha,0,0,1488,4970,1820,11197,0,0,3308,16167,4.887
36,Kurigram,234,288,3039,10151,163,1008,9,240,3445,11687,3.392
37,Lalmonirhat,195,249,1991,6651,203,1255,0,0,2389,8155,3.414
38,Nilphamari,121,123,2313,7727,771,4766,0,0,3205,12616,3.936
39,Panchagarh,114,117,2362,7890,11,68,0,0,2487,8075,3.247
40,Rangpur,16,19,3905,13044,650,4018,0,0,4571,17081,3.737
41,Thakurgaon,921,1304,3258,10884,731,4518,54,1437,4964,18143,3.655
,Rangpur Div.,2201,3100,24442,81647,5821,35929,63,1677,32527,122354,3.762
42,Bogura,1061,1357,7360,24585,3042,18803,717,12573,12180,57318,4.705
43,C.Nawabganj,443,570,1291,4313,514,3177,0,0,2248,8060,3.586
44,Joypurhat,32,34,2630,8785,1467,9067,208,5531,4337,23417,5.399
45,Naogaon,311,354,9288,31026,2012,12385,15,399,11626,44164,3.799
46,Natore,194,245,4590,15332,2049,12665,48,1277,6881,29519,4.290
47,Pabna,200,244,8500,28393,1578,9755,24,639,10302,39031,3.789
48,Rajshahi,0,0,6813,22759,3934,24316,23,612,10770,47687,4.428
49,Sirajganj,177,200,2710,9052,1521,9401,0,0,4408,18653,4.232
,Rajshahi Div.,2418,3004,43182,144245,16117,99569,1035,21030,62752,267849,4.268
50,Bandarban,206,290,193,644,0,0,0,0,399,934,2.341
51,B.Baria,76,85,4382,14686,1979,12233,11,292,6448,27296,4.233
52,Chandpur,122,153,6408,21405,2974,18382,0,0,9504,39941,4.202
53,Chattagram,4068,5904,9321,31136,2030,12548,87,2313,15506,51901,3.347
54,Cumilla,1300,1562,12504,41769,7928,48952,1016,22975,22748,115257,5.067
55,Cox’s Bazar,1632,1603,570,1904,35,216,32,851,2269,4574,2.016
56,Feni,408,427,3831,12797,1316,8134,24,639,5579,21997,3.943
57,Khagrachari,129,155,989,3304,0,0,0,0,1118,3459,3.094
58,Lakshmipur,332,330,3402,11363,2582,15960,0,0,6316,27652,4.378
59,Noakhali,1055,1193,11468,38308,288,1780,0,0,12811,41281,3.222
60,Rangamati,19,22,319,1066,3,19,0,0,341,1106,3.246
,Ctg Div.,9347,11724,53387,178382,19135,118224,1170,27070,83039,335398,4.039
61,Habiganj,905,1072,2833,9464,774,4784,46,1223,4558,16543,3.630
62,Moulov.Bazar,1202,733,1618,5405,1163,7137,4,106,3987,13381,3.356
63,Sunamgonj,422,534,1651,5516,230,1421,1,26,2304,7497,3.255
64,Sylhet,900,1002,2912,9726,721,4456,5,132,4538,15317,3.375
,Sylhet Div.,3429,3341,9014,30111,2888,17798,56,1486,15387,52742,3.428
,Grand Total,36196,42359,233776,780958,87895,542923,14538,353543,372405,1719783,4.618
