"2203- Beer
made from malt",Liter,21127,3241,20947,3234,8460,1529,18495,3676
"22083-
Whiskies",Liter,37572,18886,35382,18239,15844,7559,8726,7033
"240110-
Tobaco
N/stem/strip
F/cure N/virgna",Kg,7020602,988242,12982191,2018490,10118155,113223,9723158,1172381
"240120Tobacco
whole/part
stem/strip
virgna",Kg,14150655,2855349,12565462,2846006,12607468,2287822,11193784,2199611
"24021Cigar
chroot/cigrillo
cigarete other",Kg.,61236,32919,421210,233757,278464,150280,346404,208893
"24022000
Cigarette
tobacco cont
subs or not",kg,53011,20076,36600,8183,107373,488221,113642,39281
"31021000-
Urea Aqueous
solution or not",M.ton,-,-,-,-,-,-,31000,441432
"4101- Raw
hides and skins
other",Kg,270690,79302,15417,50590,56983,36342,9735,5284
"410411- Calf
leather",Kg,13688642,3844770,9882775,2368421,6097202,1197121,5730673,1024903
"4104 Leather,
bovine hides",Kg,24240128,22405850,18917032,18584660,12300976,11362173,6098262,8510774
"4105-Leather,
semi finished
sheep skin",Kg,34577,69155,45464,63498,27111,27854,47014,41783
