Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Bandarban,23338,9444,26.80,2.472,23347,23409,9473,27.66,2.551,24169
2,Chattagram,359091,145316,32.30,2.979,432947,353825,143185,32.31,2.980,426730
3,Cox's Bazar,176641,71483,27.30,2.518,180004,176786,71541,28.64,2.642,188994
4,Cumilla,249995,101167,26.50,2.444,247289,241282,97642,26.74,2.466,240832
5,Chandpur,52785,21361,25.30,2.334,49849,52120,21092,25.99,2.397,50564
6,Brahmanbaria,101614,41121,29.30,2.703,111134,104225,42178,28.91,2.667,112473
7,Khagrachari,64529,26113,31.50,2.906,75874,61464,24873,31.40,2.896,72041
8,Noakhali,97044,39272,29.10,2.684,105412,110678,44789,29.21,2.694,120676
9,Lakshmipur,145722,58970,29.60,2.730,161007,154893,62682,29.80,2.749,172296
10,Feni,146733,59380,30.20,2.786,165410,145973,59072,30.18,2.784,164444
11,Rangamati,23997,9711,31.05,2.864,27813,23742,9608,30.89,2.849,27376
1,"Chattagram
Division",1441489,583339,29.37,2.709,1580085,1448397,586135,29.61,2.731,1600593
12,Sylhet,181140,73303,27.70,2.555,187293,190799,77212,27.95,2.578,199061
13,Maulavibazar,227104,91904,28.30,2.610,239905,232468,94075,28.60,2.638,248174
14,Sunamgonj,86592,35042,26.05,2.403,84200,96662,39117,26.85,2.477,96878
15,Hobigonj,150281,60815,26.01,2.399,145906,151913,61476,26.25,2.421,148851
2,"Sylhet
Division",645117,261065,27.30,2.518,657303,671842,271880,27.63,2.549,692964
16,Dhaka,15434,6246,28.30,2.610,16304,14867,6016,29.10,2.684,16149
17,Gazipur,91349,36967,26.20,2.417,89337,92396,37391,26.41,2.436,91085
18,Manikgonj,24912,10081,27.30,2.518,25386,10740,4346,26.95,2.486,10804
19,Munsigonj,400,162,27.60,0.000,412,480,194,27.70,2.555,496
20,Narayangonj,5062,2048,23.40,2.158,4421,5168,2091,24.99,2.305,4821
21,Narsingdi,69529,28137,25.80,2.380,66960,72626,29390,25.48,2.350,69075
22,Faridpur,118200,47833,28.60,2.638,126186,125728,50879,29.29,2.702,137461
23,Rajbari,90797,36744,30.10,2.776,102015,96641,39108,30.55,2.818,110205
24,Madaripur,7385,2989,28.90,2.666,7967,12073,4886,28.50,2.629,12844
25,Gopalgonj,10087,4082,22.50,2.075,8472,12732,5152,23.35,2.154,11097
26,Shariatpur,2281,923,21.80,2.011,1856,5754,2329,23.45,2.163,5037
27,Kishoregonj,176927,71598,28.90,2.666,190862,174407,70579,28.89,2.665,188078
28,Tangail,197835,80059,28.90,2.666,213417,189323,76615,27.94,2.577,197450
3,"Dhaka
Division",810198,327869,28.22,2.603,853595,812935,328977,28.16,2.598,854601
29,Jamalpur,194237,78603,29.00,2.675,210260,189751,76788,28.90,2.666,204696
30,Sherpur,132631,53673,26.30,2.426,130205,126655,51255,27.96,2.579,132186
31,Netrokona,255027,103204,28.50,2.629,271305,242521,98143,28.70,2.647,259812
32,Mymenshing,534557,216323,29.05,2.680,579652,535628,216757,28.80,2.657,575815
4,"Mymenshing
Division",1116452,451804,29.05,2.637,1191423,1094555,442942,28.70,2.647,1172509
