Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund
)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Barishal,10838,4386,18.66,1.721,7549,10725,4340,20.03,1.848,8019
34,Jhalakathi,89,36,15.02,1.385,50,70,28,15.76,1.454,41
35,Perojpur,361,146,21.60,1.992,291,284,115,19.44,1.793,206
36,Bhola,8775,3551,24.78,2.286,8117,5077,2055,25.64,2.365,4859
37,Patuakhali,1685,682,16.61,1.532,1045,397,161,15.40,1.420,228
38,Barguna,0,0,0.00,0.000,0,0,0,16.40,0.000,0
5,"Barishal
Division",21748,8801,21.00,1.937,17051,16553,6699,21.61,1.993,13353
39,Jashore,0,0,0.00,0.000,0,0,0,0.00,0.000,0
40,Jhenaidah,0,0,0.00,0.000,0,0,0,0.00,0.000,0
41,Magura,0,0,0.00,0.000,0,0,0,0.00,0.000,0
42,Narail,193,78,26.93,2.484,194,164,66,26.93,2.484,165
43,Khulna,383,155,19.67,1.814,281,254,103,20.36,1.878,193
44,Bagerhat,4236,1714,19.30,1.780,3052,3772,1526,19.28,1.778,2715
45,Satkhira,0,0,0.00,0.000,0,0,0,0.00,0.000,0
46,Kushtia,0,0,0.00,0.000,0,0,0,0.00,0.000,0
47,Chuadanga,0,0,0.00,0.000,0,0,0,0.00,0.000,0
48,Meherpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
6,"Khulna
Division",4812,1947,19.64,1.811,3527,4190,1696,19.64,1.812,3072
49,Bogura,3633,1470,19.59,1.807,2657,3655,1479,19.12,1.764,2609
50,Joypurhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
51,Pabna,1390,563,17.37,1.602,901,1294,524,16.73,1.543,808
52,Sirajgonj,4950,2003,21.73,2.004,4015,5595,2264,24.08,2.221,5029
53,Rajshahi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
54,Noagaon,0,0,0.00,0.000,0,,0,0.00,0.000,0
55,Natore,134,54,26.45,2.440,132,61,25,26.45,2.440,60
56,Nawabgonj,0,0,0.00,0.000,0,0,0,0.00,0.000,0
7,"Rajshahi
Division",10107,4090,20.42,1.884,7705,10605,4292,21.49,1.982,8506
57,Dinajpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
58,Thakurgaon,0,0,0.00,0.000,0,0,0,0.00,0.000,0
59,Panchagar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
60,Rangpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
61,Gaibandha,1264,512,15.85,1.462,748,1296,524,17.51,1.615,847
62,Kurigram,4095,1657,18.00,1.660,2751,2942,1191,21.99,2.028,2415
63,Nilphamari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
64,Lalmonirhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
8,"Rangpur
Division",5359,2169,17.49,1.614,3499,4238,1715,20.62,1.902,3262
BANGLADESH,,116883,47300,20.48,1.889,89341,84137,34048,20.99,1.937,65936
