Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Bandarban,1966,796,43.60,4.022,3200,1849,748,45.81,4.225,3162
2,Chattagram,18052,7305,46.70,4.308,31468,19742,7989,49.46,4.562,36448
3,Cox's Bazar,10823,4380,47.30,4.363,19109,11893,4813,50.35,4.644,22352
4,Cumilla,45836,18549,45.00,4.151,76992,46577,18849,45.18,4.167,78550
5,Chandpur,12856,5203,44.00,4.059,21115,136046,55055,47.19,4.353,239642
6,Brahmanbaria,5302,2146,48.99,4.519,9696,7272,2943,52.27,4.821,14188
7,Khagrachari,6250,2529,39.20,3.616,9145,6118,2476,45.25,4.174,10334
8,Noakhali,90036,36436,54.80,5.055,184172,98916,40029,52.45,4.838,193660
9,Lakshmipur,12227,4948,49.10,4.529,22409,13213,5347,50.21,4.631,24764
10,Feni,5626,2277,51.90,4.787,10899,5783,2340,53.70,4.953,11592
11,Rangamati,8121,3286,45.60,4.206,13823,7590,3072,51.78,4.776,14670
1,"Chattagram
Division",217095,87854,49.61,4.576,402028,354999,143660,49.00,4.520,649361
12,Sylhet,6405,2592,42.40,3.911,10137,5590,2262,42.97,3.964,8966
13,Maulavibazar,4266,1726,47.42,4.374,7551,2785,1127,45.29,4.178,4708
14,Sunamgonj,68985,27917,51.80,4.778,133386,16790,6795,49.06,4.525,30747
15,Hobigonj,88616,35861,48.10,4.437,159105,65651,26568,46.36,4.276,113609
2,"Sylhet
Division",168272,68096,49.38,4.555,310180,90816,36751,46.62,4.300,158030
16,Dhaka,1110,449,56.80,5.239,2353,1047,424,55.84,5.151,2182
17,Gazipur,20825,8427,55.20,5.092,42909,19128,7741,56.62,5.223,40427
18,Manikgonj,798,323,54.80,5.055,1632,739,299,53.25,4.912,1469
19,Munsigonj,104,42,54.40,5.018,211,115,47,55.40,5.110,238
20,Narayangonj,2553,1033,45.40,4.188,4326,2531,1024,44.94,4.145,4246
21,Narsingdi,2168,877,46.10,4.252,3731,1349,546,50.25,4.635,2530
22,Faridpur,1006,407,56.42,5.204,2119,848,343,55.60,5.129,1760
23,Rajbari,423,171,54.60,5.036,862,378,153,56.28,5.191,794
24,Madaripur,3841,1554,56.40,5.202,8086,5409,2189,58.65,5.410,11842
25,Gopalgonj,107999,43705,53.50,4.935,215675,94463,38227,54.49,5.026,192135
26,Shariatpur,399,161,55.86,5.153,832,265,107,55.22,5.093,546
27,Kishoregonj,62756,25396,50.60,4.667,118531,33238,13451,50.20,4.630,62282
28,Tangail,4565,1847,56.00,5.165,9542,4306,1743,55.25,5.096,8880
3,"Dhaka
Division",208547,84394,52.77,4.868,410812,163816,66293,53.86,4.968,329331
29,Jamalpur,45555,18435,47.90,4.418,81451,46100,18656,48.05,4.432,82684
30,Sherpur,71152,28794,49.00,4.520,130140,72046,29155,50.20,4.630,135002
31,Netrokona,23360,9453,50.40,4.649,43947,14413,5833,51.06,4.710,27470
32,Mymensingh,86322,34933,50.80,4.686,163686,76385,30911,51.66,4.765,147296
4,"Mymensingh
Division",226389,91615,49.10,4.576,419225,208944,84555,49.10,4.641,392452
