Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal,0,0,0,0,0,0
7,Bandarban,89,48,76,40,71,38
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chattogram,0,0,0,0,0,0
11,Cumilla,0,0,0,0,0,0
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,0,0
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,0,0,0,0,0,0
2,Chattogram,89,48,76,40,71,38
18,Dhaka,0,0,0,0,0,0
19,Faridpur,0,0,0,0,0,0
20,Gazipur,0,0,0,0,0,0
21,Gopalganj,0,0,0,0,0,0
22,Kishorganj,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0
30,Tangail,0,0,0,0,0,0
3,Dhaka,0,0,0,0,0,0
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,0,0,0,0,0,0
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,0,0,0,0,0,0
35,Khulna,0,0,0,0,0,0
36,Kushtia,0,0,0,0,0,0
