Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal,0,0,0,0,0,0
7,Bandarban,385,832,388,319,396,326
8,Brahmanbaria,0,0,0,0,75,7
9,Chandpur,2230,3850,2107,3437,1939,3393
10,Chattogram,0,0,0,0,0,0
11,Cumilla,700,958,7,10,0,0
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,3,0,0,0,0,0
14,Khagrachhari,470,426,468,431,350,428
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,983,1441,962,1276,688,794
2,Chattogram,4771,7507,3932,5473,3448,4948
18,Dhaka,917,1795,917,1965,825,1829
19,Faridpur,0,0,0,0,0,0
20,Gazipur,136,193,123,172,38,76
21,Gopalganj,0,0,0,0,0,0
22,Kishorganj,,,0,0,0,0
23,Madaripur,0,0,0,0,0,0
24,Manikganj,14190,30370,13886,27547,11877,25163
25,Munshiganj,545,851,1665,3457,2111,4114
26,Narayanganj,64,86,63,85,0,0
27,Narsingdi,9,7,0,0,0,0
28,Rajbari,21,50,0,0,35,82
29,Shariatpur,0,0,0,0,0,0
30,Tangail,0,0,0,0,0,0
3,Dhaka,14829,31364,16654,33226,14886,31264
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,512,512,266,303,156,150
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,0,0,0,0,0,0
35,Khulna,0,0,0,0,0,0
36,Kushtia,489,949,513,973,499,1089
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0
4,Khulna,1001,1461,779,1276,655,1239
41,Jamalpur,0,0,0,0,0,0
42,Mymensing,0,0,0,0,0,0
43,Netrakona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensing,0,0,0,0,0,0
45,Bogura,2990,6924,2608,5994,1579,3489
46,Joypurhat,177,169,189,180,189,180
47,Naogaon,1571,2272,1825,4170,2599,6265
48,Natore,335,691,722,1078,2471,4585
49,Chapai Nawabganj,1621,2286,1590,2415,1517,2690
50,Pabna,49,97,56,110,91,243
51,Rajshahi,21653,38894,20629,46679,20551,50977
52,Sirajganj,90,204,85,202,109,202
6,Rajshahi,28486,51537,27704,60828,29106,68631
53,Dinajpur,12025,29860,17194,45669,13419,36624
54,Gaibandha,72,112,452,1397,462,1442
55,Kurigram,744,2035,744,2110,1244,2200
56,Lalmonirhat,10374,23632,10948,25043,13022,37386
57,Nilphamari,5950,12602,5751,11959,6233,18011
58,Panchagarh,2094,5812,2003,5787,1251,3733
59,Rangpur,16688,40382,19812,50671,20912,55655
60,Thakurgaon,30572,75938,40041,95121,52805,132805
7,Rangpur,78519,190373,96945,237757,109348,287856
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0
,BANGLADESH,128659,284230,146014,338560,157443,393938
