Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,114,156,125,170,128,228
2,Barishal,274,422,322,557,322,559
3,Bhola,481,795,858,1011,390,633
4,Jhallokati,140,312,176,257,140,247
5,Patuakhali,133,235,111,149,114,188
6,Pirojpur,572,1017,619,1123,625,1192
1,Barishal,1714,2937,2211,3267,1719,3047
7,Bandarban,351,254,353,256,353,256
8,Brahmanbaria,1,1,0,0,0,0
9,Chandpur,10,725,13023,35133,15047,28952
10,Chattogram,95,211,226,618,63,143
11,Cumilla,18386,39271,22200,38579,19856,38783
12,Cox's Bazar,186,387,205,425,0,0
13,Feni,3,3,7,4,90,207
14,Khagrachhari,825,1033,864,1064,945,2015
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,2,2,3,3,0,0
17,Rangamati,581,1792,538,1336,513,981
2,Chattogram,20440,43448,37419,77418,36867,71337
18,Dhaka,10284,26211,10516,30427,10516,30427
19,Faridpur,416,1350,960,3516,903,2378
20,Gazipur,10,17,7,12,4,6
21,Gopalganj,5,10,16,12,81,259
22,Kishorganj,5731,14342,9871,28923,9307,2553
23,Madaripur,60,125,156,349,153,523
24,Manikganj,32195,89573,35459,98910,40271,115512
25,Munshiganj,166,131,117,268,139,286
26,Narayanganj,31,33,76,142,67,214
27,Narsingdi,0,0,5,13,38,2752
28,Rajbari,112,304,114,621,234,707
29,Shariatpur,6,14,84,221,53,110
30,Tangail,2300,5688,2741,5923,5439,14470
3,Dhaka,51316,137798,60122,169337,67205,170197
31,Bagerhat,383,787,384,816,354,654
32,Chuadanga,116601,453262,121413,474525,110937,437590
33,Jashore,655,1689,767,2252,868,2642
34,Jhenaidah,23102,73788,31077,100385,36928,135062
35,Khulna,123,201,54,129,54,99
36,Kushtia,14063,36212,17357,57648,15519,58759
