Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,26,26,25,25,26,14
2,Barishal,26,10,27,15,33,17
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,23,7,25,12
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal,52,36,75,47,84,43
7,Bandarban,62,23,62,23,62,23
8,Brahmanbaria,60,20,56,20,58,19
9,Chandpur,102,52,97,50,97,50
10,Chattogram,99,33,115,35,115,35
11,Cumilla,54,26,45,22,42,21
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,203,93,188,81,207,90
14,Khagrachhari,89,39,93,38,99,40
15,Laksmipur,55,13,66,17,61,16
16,Noakhali,1098,402,928,310,842,275
17,Rangamati,136,81,143,84,141,84
2,Chattogram,1958,782,1793,680,1724,653
18,Dhaka,206,98,208,99,220,110
19,Faridpur,1685,657,1691,677,1655,647
20,Gazipur,6,2,7,3,7,2
21,Gopalganj,605,271,608,271,623,277
22,Kishorganj,22,7,18,6,12,4
23,Madaripur,1339,548,1331,544,1319,538
24,Manikganj,755,235,727,224,723,220
25,Munshiganj,59,27,56,21,57,26
26,Narayanganj,24,10,21,8,54,279
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,1042,610,1340,605,1340,1340
29,Shariatpur,328,171,322,174,288,145
30,Tangail,9,3,9,3,10,3
3,Dhaka,6080,2639,6338,2635,6308,3591
31,Bagerhat,116,35,115,37,110,32
32,Chuadanga,76,34,85,39,103,44
33,Jashore,684,265,695,293,664,280
34,Jhenaidah,613,206,777,293,712,270
35,Khulna,21,7,20,7,18,6
36,Kushtia,736,417,877,497,880,527
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,2010,706,1908,681,1826,599
38,Meherpur,16,6,19,7,21,8
39,Narail,1105,410,1107,431,1128,429
40,Satkhira,0,0,0,0,0,0
4,Khulna,5377,2086,5603,2285,5462,2195
41,Jamalpur,19,7,28,7,28,12
42,Mymensing,114,78,118,63,119,63
43,Netrakona,0,0,0,0,0,0
44,Sherpur,8,3,7,3,8,3
5,Mymensing,141,88,153,73,155,78
45,Bogura,0,0,0,0,0,0
46,Joypurhat,16,5,17,5,17,5
47,Naogaon,38,16,43,21,43,20
48,Natore,1024,399,805,300,805,300
49,Chapai Nawabganj,366,116,404,135,468,150
50,Pabna,1581,698,1690,767,1701,604
51,Rajshahi,581,187,369,170,820,447
52,Sirajganj,520,253,5,3,5,3
6,Rajshahi,4126,1674,3333,1401,3859,1529
53,Dinajpur,39,11,40,12,38,12
54,Gaibandha,14,5,14,5,7,2
55,Kurigram,60,19,65,21,37,11
56,Lalmonirhat,0,0,0,0,0,0
57,Nilphamari,2,1,2,1,0,0
58,Panchagarh,22,8,21,7,20,7
59,Rangpur,15,8,14,8,4,2
60,Thakurgaon,27,8,28,9,30,9
7,Rangpur,179,60,184,63,136,43
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,18,7,18,7,18,7
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,18,7,18,7,18,7
,BANGLADESH,17931,7372,17497,7191,17746,8139
