Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,7117,2420,7180,2338,7177,2723
2,Barishal,43615,17644,42986,16740,41731,17058
3,Bhola,26759,14430,31074,15328,31280,15869
4,Jhallokati,6890,2194,4350,1313,4420,1422
5,Patuakhali,16782,7552,15890,5895,6324,2571
6,Pirojpur,6555,2523,6255,2599,6304,2616
1,Barishal,107718,46763,107735,44213,97236,42259
7,Bandarban,0,0,0,0,0,0
8,Brahmanbaria,3319,1376,3321,1333,413,144
9,Chandpur,344,128,335,150,340,155
10,Chattogram,1587,487,1541,470,1534,469
11,Cumilla,1545,601,1175,471,1097,423
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,2430,867,1309,392,1299,386
14,Khagrachhari,21,13,0,0,0,0
15,Laksmipur,468,178,448,145,408,131
16,Noakhali,13655,5996,16638,6968,12722,5246
17,Rangamati,0,0,0,0,0,0
2,Chattogram,23369,9646,24767,9929,17813,6954
18,Dhaka,2492,960,2495,959,2492,1182
19,Faridpur,13935,6665,14140,6848,13935,6665
20,Gazipur,131,48,126,45,121,44
21,Gopalganj,17874,8914,18040,9061,18041,9061
22,Kishorganj,101,41,85,32,90,155
23,Madaripur,11397,5497,11822,5751,12282,5904
24,Manikganj,4981,2150,4676,2010,4579,1895
25,Munshiganj,295,119,304,115,242,91
26,Narayanganj,205,72,188,66,188,66
27,Narsingdi,17,11,17,8,17,10
28,Rajbari,4515,2173,3267,1636,3474,1736
29,Shariatpur,8403,4329,8568,4481,8340,4130
30,Tangail,5118,1659,4980,1564,4501,1317
3,Dhaka,69464,32638,68708,32576,68302,32256
31,Bagerhat,12447,5759,12332,5418,10013,3350
32,Chuadanga,366,126,339,128,339,129
33,Jashore,1644,655,1555,661,1538,648
34,Jhenaidah,1154,510,811,364,625,294
35,Khulna,352,197,311,178,315,182
36,Kushtia,2581,1614,2924,1614,2453,1564
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,3994,951,3835,930,3764,910
38,Meherpur,135,51,116,42,117,47
39,Narail,25678,9230,24987,9327,25244,9470
40,Satkhira,3319,1397,3317,1420,3255,1429
4,Khulna,51670,20490,50527,20082,47663,18023
41,Jamalpur,682,246,266,247,746,267
42,Mymensing,459,252,418,221,397,197
43,Netrakona,42,18,39,13,44,15
44,Sherpur,44,18,57,24,67,28
5,Mymensing,1227,534,780,505,1254,507
45,Bogura,164,70,156,80,160,71
46,Joypurhat,75,30,78,32,81,35
47,Naogaon,295,155,302,158,310,164
48,Natore,6434,2856,5221,2399,5015,2298
49,Chapai Nawabganj,4602,1693,4839,1810,5791,2084
50,Pabna,11467,5640,9309,5466,9130,4786
51,Rajshahi,857,410,913,436,1012,500
52,Sirajganj,1092,465,1493,636,1378,3332
6,Rajshahi,24986,11319,22311,11017,22877,13270
53,Dinajpur,60,19,58,17,41,12
54,Gaibandha,167,63,230,92,190,77
55,Kurigram,1474,811,1450,795,1737,942
56,Lalmonirhat,33,19,38,21,35,20
57,Nilphamari,50,33,50,30,176,375
58,Panchagarh,27,6,29,7,24,6
59,Rangpur,45,21,50,26,52,24
60,Thakurgaon,33,13,0,0,37,15
7,Rangpur,1889,985,1905,988,2292,1471
61,Habiganj,26,7,31,8,34,9
62,Maulvibazar,66,26,65,26,35,26
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,92,33,96,34,69,35
,BANGLADESH,280415,122408,276829,119344,257506,114775
