Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,59,15,0,0,0,0
3,Bhola,134,64,148,73,116,46
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,49,10,51,11,50,19
6,Pirojpur,0,0,0,0,0,0
1,Barishal,242,89,199,84,166,65
7,Bandarban,11,1,6,1,6,1
8,Brahmanbaria,248,79,242,82,251,82
9,Chandpur,0,0,0,0,0,0
10,Chattogram,0,0,0,0,0,0
11,Cumilla,37,15,26,9,17,6
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,0,0
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,115,16,122,16,17,3
17,Rangamati,0,0,0,0,0,0
2,Chattogram,411,111,396,108,291,92
18,Dhaka,0,0,0,0,0,0
19,Faridpur,2430,521,438,109,2430,521
20,Gazipur,4,2,5,2,0,0
21,Gopalganj,1823,478,1967,526,1967,526
22,Kishorganj,0,0,0,0,0,0
23,Madaripur,533,134,416,89,366,640
24,Manikganj,23,8,17,7,15,6
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,8,2,7,2,7,2
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,930,293,656,221,603,204
29,Shariatpur,144,54,75,27,70,25
30,Tangail,160,35,139,29,132,27
3,Dhaka,6055,1527,3720,1012,5590,1951
31,Bagerhat,6,1,0,0,0,0
32,Chuadanga,65,17,69,20,27,10
33,Jashore,243,65,197,51,172,44
34,Jhenaidah,277,78,157,421,142,38
35,Khulna,7,2,6,1,0,0
36,Kushtia,508,202,499,203,473,188
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,3401,948,3348,939,2912,822
38,Meherpur,0,0,0,0,0,0
39,Narail,1398,394,1063,261,881,234
40,Satkhira,31,5,29,7,0,0
4,Khulna,5936,1712,5368,1903,4607,1336
41,Jamalpur,386,67,365,83,188,53
42,Mymensing,31,9,32,10,35,11
43,Netrakona,58,30,55,30,56,32
44,Sherpur,10,3,11,3,13,3
5,Mymensing,485,109,463,126,292,99
45,Bogura,4,1,4,1,0,0
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,185,38,155,33,156,35
48,Natore,38,7,45,10,38,9
49,Chapai Nawabganj,143,37,142,37,137,36
50,Pabna,381,114,373,113,347,103
51,Rajshahi,82,27,84,27,80,26
52,Sirajganj,895,304,895,304,886,305
6,Rajshahi,1728,528,1698,525,1644,514
53,Dinajpur,73,13,69,12,59,10
54,Gaibandha,88,26,87,25,88,27
55,Kurigram,500,187,575,187,505,190
56,Lalmonirhat,0,0,0,0,6,1
57,Nilphamari,27,12,24,11,0,0
58,Panchagarh,236,52,237,54,239,54
59,Rangpur,0,0,0,0,0,0
60,Thakurgaon,366,79,359,80,363,81
7,Rangpur,1290,369,1351,369,1260,363
61,Habiganj,12,4,15,6,19,7
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,25,21,30,26,35,31
64,Sylhet,23,5,17,5,16,6
8,Sylhet,60,30,62,37,70,44
,BANGLADESH,16207,4475,13257,4164,13920,4464
