Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,1842,570,1595,693,2261,1543
2,Barishal,15,6,0,0,8,5
3,Bhola,26,20,22,18,10,7
4,Jhallokati,89,79,92,75,96,85
5,Patuakhali,218,120,206,122,48,28
6,Pirojpur,243,183,248,190,242,193
1,Barishal,2433,978,2163,1098,2665,1861
7,Bandarban,0,0,0,0,0,0
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chattogram,0,0,0,0,0,0
11,Cumilla,0,0,0,0,0,0
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,0,0
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,0,0,0,0,0,0
2,Chattogram,0,0,0,0,0,0
18,Dhaka,0,0,0,0,0,0
19,Faridpur,18,6,13,6,18,6
20,Gazipur,0,0,0,0,0,0
21,Gopalganj,143,288,63,64,63,64
22,Kishorganj,0,0,0,0,0,0
23,Madaripur,575,131,395,91,439,86
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,1,1,0,0,0,0
29,Shariatpur,0,0,0,0,0,0
30,Tangail,54,14,54,14,55,15
3,Dhaka,791,440,525,175,575,171
31,Bagerhat,350,385,394,435,381,422
32,Chuadanga,6,3,6,3,0,0
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,0,0,0,0,0,0
35,Khulna,20,6,25,7,0,0
36,Kushtia,175,102,162,92,0,0
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0
40,Satkhira,71,33,51,26,36,16
4,Khulna,622,529,638,563,417,438
41,Jamalpur,35,17,34,47,37,51
42,Mymensing,15,4,16,4,19,7
43,Netrokona,0,0,0,0,0,0
44,Sherpur,18,50,0,0,0,0
5,Mymensing,68,71,50,51,56,58
45,Bogura,0,0,0,0,0,0
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0
48,Natore,15,3,19,4,18,3
49,Chapai Nawabganj,70,205,0,0,0,0
50,Pabna,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0
6,Rajshahi,85,208,19,4,18,3
53,Dinajpur,0,0,0,0,0,0
54,Gaibandha,0,0,15,5,0,0
55,Kurigram,10,3,0,0,0,0
56,Lalmonirhat,0,0,0,0,0,0
57,Nilphamari,0,0,0,0,0,0
58,Panchagarh,0,0,0,0,0,0
59,Rangpur,0,0,0,0,0,0
60,Thakurgaon,0,0,0,0,0,0
7,Rangpur,10,3,15,5,0,0
61,Habiganj,0,0,15,17,0,0
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,0,0,15,17,0,0
,BANGLADESH,4009,2229,3425,1913,3731,2531
