Zila/Division,,2015-16,,2016-17,,2017-18,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,2,0.26,2,1,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,2,1,5,3,0,0
1,Barishal,4,1.26,7,4,0,0
7,Bandarban,212,313,504,312,497,308
8,Brahmanbaria,111,42,120,48,155,68
9,Chandpur,0,0,0,0,0,0
10,Chattogram,115,40,115,41,112,40
11,Cumilla,142,92,155,98,132,101
12,Cox's Bazar,29,43,29,43,30,44
13,Feni,7,2,6,2,7,3
14,Khagrachhari,403,128,421,137,444,155
15,Laksmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,960,412,969,421,980,418
2,Chattogram,1979,1072,2319,1102,2357,1137
18,Dhaka,391,432,403,454,557,937
19,Faridpur,4085,4940,4071,4915,5673,5978
20,Gazipur,234,89,228,87,227,88
21,Gopalganj,196,240,204,246,202,224
22,Kishorganj,327,160,231,118,191,129
23,Madaripur,516,159,522,160,536,176
24,Manikganj,609,217,607,217,557,220
25,Munshiganj,245,100,255,105,263,108
26,Narayanganj,168,61,163,55,160,57
27,Narsingdi,216,117,210,116,202,118
28,Rajbari,2666,1881,2767,1976,2513,2829
29,Shariatpur,151,39,84,41,159,62
30,Tangail,599,90,612,194,599,194
3,Dhaka,10403,8525,10357,8684,11839,11120
31,Bagerhat,275,127,263,96,255,98
32,Chuadanga,1989,1761,2000,3528,1953,3280
33,Jashore,1077,491,1079,506,1067,613
34,Jhenaidah,2022,917,1607,744,1484,1129
35,Khulna,319,446,294,411,301,428
36,Kushtia,1307,824,1297,855,1323,1620
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,410,163,410,187,387,183
38,Meherpur,1825,730,1812,779,1808,812
39,Narail,461,1007,446,966,495,832
40,Satkhira,566,717,557,712,546,697
4,Khulna,10251,7183,9765,8784,9619,9692
41,Jamalpur,660,174,638,172,679,186
42,Mymensing,723,664,842,695,844,698
43,Netrokona,57,32,252,191,257,135
44,Sherpur,327,123,347,133,350,135
5,Mymensing,1767,993,2079,1191,2130,1154
45,Bogura,417,184,513,237,546,673
46,Joypurhat,234,94,231,106,217,251
47,Naogaon,1109,707,1281,857,1325,899
48,Natore,533,246,515,244,546,265
49,Chapai Nawabganj,188,45,188,240,167,41
50,Pabna,7475,4550,7612,4734,7598,4623
51,Rajshahi,1386,1882,1252,45,2062,1486
52,Sirajganj,139,110,150,124,151,104
6,Rajshahi,11481,7818,11742,6587,12612,8342
53,Dinajpur,1199,1055,1199,999,1149,956
54,Gaibandha,508,687,498,246,552,371
55,Kurigram,222,211,197,197,213,161
56,Lalmonirhat,193,249,214,118,249,211
57,Nilphamari,1202,1082,1188,729,890,547
58,Panchagarh,1680,1104,1655,1098,1667,1115
59,Rangpur,893,405,979,457,1049,534
60,Thakurgaon,1042,599,1059,614,1074,360
7,Rangpur,6939,5392,6989,4458,6843,4255
61,Habiganj,244,174,259,244,211,185
62,Maulvibazar,105,46,107,46,100,47
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,13,8,15,9
8,Sylhet,349,220,379,298,326,241
,BANGLADESH,43173,31204.26,43637,31108,45726,35941
