Item,Year,"Area ‘000, Acres","Production ‘000,M. tons",Per acre Yield (kg)
Major cereals,2017-18,29566,37377,1264
,2016-17,28210,35115,1245
,2015-16,29223,36058,1233
Aus Rice,2017-18,2657,2710,1019
,2016-17,2327,2134,917
,2015-16,2516,2288,909
Aman Rice,2017-18,14035,13993,997
,2016-17,13797,13656,990
,2015-16,13814,13484,976
Boro Rice,2017-18,12008,19576,1630
,2016-17,11060,18014,1629
,2015-16,11794,18938,1606
Wheat,2017-18,868,1099,1266
,2016-17,1026,1311,1278
,2015-16,1099,1348,1226
Minor cereals,2017-18,992,3289,3315
,2016-17,968,3026,3127
,2015-16,834,2446,2943
Total cereals,2017-18,30558,40666,1330
,2016-17,29178,38141,1307
,2015-16,30057,37156,1236
Potato,2017-18,1180,9744,4257
,2016-17,1235,10216,8272
,2015-16,1175,9474,2160
Jute (bales),2017-18,1873,8895,4.75
,2016-17,1823,8247,4.52
,2015-16,1675,7559,4512
Maize,2017-18,990,3288,3323
,2016-17,963,3026,3141
,2015-16,827,2445,2956
Pulses,2017-18,898,389,434
,2016-17,920,387,379
,2015-16,918,412,378
Oil Seeds,2017-18,1122,915,1027
,2016-17,1196,975,815
,2015-16,1124,933,830
Spices & Condiments,2017-18,1006,2594,2578
,2016-17,1019,3513,3447
,2015-16,977,2488,2546
Chillies,2017-18,250,141,564
,2016-17,256,137,535
,2015-16,252,130,515
Onion,2017-18,441,1738,3939
,2016-17,459,1866,4067
,2015-16,438,1735,3961
Drugs & Narcotics,2017-18,402,597,1474
,2016-17,347,634,1827
,2015-16,352,647,1838
Tea,2017-18,166,78,472
,2016-17,133,82,615
,2015-16,148,65,435
Tobacco,2017-18,105,89,847
,2016-17,113,91,763
,2015-16,115,88,763
Vegetables,2017-18,1008,4074,4041
,2016-17,1025,1744,1701
,2015-16,992,3877,4908
Tomato,2017-18,70,385,5539
,2016-17,68,389,5686
,2015-16,67,368,5451
Sweet Potato,2017-18,59,247,4166
,2016-17,64,263,4130
,2015-16,61,259,4219
Sugar Crops(Temporary),2017-18,223,3639,16333
,2016-17,227,3862,16988
,2015-16,243,4207,17312
Sugar Crops(Permanent),2017-18,464,4182,9012
,2016-17,05,580,116
,2015-16,03,528,176
Fruits (Temporary),2017-18,194,1286,6428
,2016-17,234,4392,1877
,2015-16,200,1343,6715
Fruits (Permanent),2017-18,1288,3662,2843
,2016-17,180,3704,2058
,2015-16,167,3466,2075
