Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,5087,0,0,0,545,756,635,545,756,635
2,Barishal,0,0,2104,0,0,0,1220,735,896,1220,735,896
3,Bhola,-,0,963,-,0,1,264,681,546,264,681,547
4,Jhallokati,0,0,676,0,0,0,197,231,340,197,231,340
5,Patuakhali,0,0,4067,0,0,0,1648,1397,1413,1648,1397,1413
6,Pirojpur,0,2,2032,0,4,6,367,441,457,367,445,463
1,Barishal,-,2,14929,-,4,7,4241,4241,4287,4241,4245,4294
7,Bandarban,0,0,13,0,0,0,6,6,6,6,6,6
8,Brahmanbaria,0,0,43,0,0,0,64,61,63,64,61,63
9,Chandpur,0,0,1279,0,0,0,835,1119,1177,835,1119,1177
10,Chattogram,0,0,1597,0,0,0,1253,906,1210,1253,906,1210
11,Cumilla,0,0,700,0,0,0,999,1109,1133,999,1109,1133
12,Cox's Bazar,2,2,102,-,4,4,83,85,86,89,89,90
13,Feni,0,0,1198,0,0,0,347,389,345,347,389,345
14,Khagrachhari,0,0,91,0,0,0,115,119,124,115,119,124
15,Laksmipur,0,0,1834,0,0,0,642,649,598,642,649,598
16,Noakhali,0,0,1229,0,0,0,330,685,481,330,685,481
17,Rangamati,7,8,200,22,12,17,219,193,212,241,205,229
2,Chattogram,9,10,8286,28,16,21,4893,5321,5435,4921,5337,5456
18,Dhaka,0,0,343,0,0,0,233,227,178,233,227,178
19,Faridpur,46,48,2724,94,148,98,997,1091,1067,1091,1239,1165
20,Gazipur,-,82,563,109,121,129,377,405,437,486,526,566
21,Gopalganj,65,45,2006,81,64,47,1029,1011,951,1110,1075,998
22,Kishorganj,-,0,131,-,0,0,107,64,63,107,64,63
23,Madaripur,-,0,4147,-,0,27,2064,1857,2017,2064,1857,2044
24,Manikganj,5,5,1025,261,25,0,178,450,469,439,475,469
25,Munshiganj,0,0,220,0,0,0,768,753,704,768,753,704
26,Narayanganj,0,0,432,0,0,0,484,448,302,484,448,302
27,Narsingdi,0,0,112,0,0,0,106,190,101,106,190,101
28,Rajbari,0,0,4717,0,0,0,562,542,592,562,542,592
29,Shariatpur,7,0,1277,1,19,20,59,496,538,60,515,558
30,Tangail,17,17,895,8,18,16,398,411,397,406,429,413
3,Dhaka,149,197,18592,1117,395,337,9343,7945,7816,10460,8340,8153
31,Bagerhat,2,0,3215,3,0,0,263,337,341,266,337,341
32,Chuadanga,201,130,1224,637,360,355,718,601,608,1355,961,963
33,Jashore,204,234,3902,981,1008,865,553,496,500,1534,1504,1365
34,Jhenaidah,66,81,3532,276,311,194,1279,1213,1186,1555,1524,1380
35,Khulna,23,23,1975,51,105,10,500,418,613,551,523,623
36,Kushtia,41,41,12138,35,41,44,836,824,786,871,865,830
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,903,0,0,0,774,700,619,774,700,619
38,Meherpur,0,0,148,0,0,0,60,57,59,60,57,59
39,Narail,7,7,1093,53,54,56,1203,1220,1260,1256,1274,1316
40,Satkhira,85,85,4137,79,100,229,624,724,516,703,824,745
4,Khulna,629,8,32268,2115,1979,1753,6810,6590,6488,8925,8569,8241
41,Jamalpur,0,0,171,0,0,0,154,139,137,154,139,137
42,Mymensing,9,10,2786,563,60,54,1730,2210,2213,2293,2270,2267
43,Netrakona,0,0,88,0,0,0,82,85,86,82,85,86
44,Sherpur,0,0,56,0,0,0,15,15,17,15,15,17
5,Mymensing,9,10,3101,563,60,54,1981,2449,2453,2544,2509,2507
45,Bogura,1,1,1727,2,2,2,899,951,151,901,953,153
46,Joypurhat,2,3,290,20,20,12,247,264,307,267,284,319
47,Naogaon,0,0,1047,0,0,0,361,373,271,361,373,271
48,Natore,50,48,4749,434,299,273,3481,3007,2623,3915,3306,2896
49,Chapai Nawabganj,-,0,239,-,0,0,332,335,351,332,335,351
50,Pabna,0,0,1703,0,0,0,1067,1012,1043,1067,1012,1043
51,Rajshahi,12,12,3736,35,28,30,2343,2347,2242,2378,2375,2272
52,Sirajganj,-,19,279,-,0,0,381,313,305,381,313,305
6,Rajshahi,65,83,13769,491,349,317,9111,8602,7293,9602,8951,7610
53,Dinajpur,0,0,418,2,0,0,204,204,181,206,204,181
54,Gaibandha,0,0,141,-,0,0,161,128,60,161,128,60
55,Kurigram,1,1,177,7,6,0,157,161,91,164,167,91
56,Lalmonirhat,0,0,117,0,0,0,73,100,72,73,100,72
57,Nilphamari,0,0,74,0,0,0,141,54,38,141,54,38
58,Panchagarh,0,0,30,0,0,0,16,16,16,16,16,16
59,Rangpur,0,0,230,0,0,0,150,159,81,150,159,81
60,Thakurgaon,0,0,45,0,0,0,27,36,22,27,36,22
7,Rangpur,1,1,1232,9,6,0,929,858,561,938,864,561
61,Habiganj,0,0,130,80,0,0,-,82,110,80,82,110
62,Maulvibazar,0,0,21,-,0,0,52,41,41,52,41,41
63,Sunamganj,0,0,0,-,0,0,0,0,0,0,0,0
64,Sylhet,0,0,5,-,0,0,0,1,1,0,1,1
8,Sylhet,0,0,156,80,0,0,52,124,152,132,124,152
,BANGLADESH,853,311,92333,3840,2809,2489,35379,36130,34485,39219,38939,36974
