Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,"2016-
17",2017-18,2015-16,"2016-
17",2017-18,2015-16,2016-17,"2017-
18"
37,Magura,0,0,97367,0,0,0,2781,2955,2186,2781,2955,2186
38,Meherpur,0,0,9728,0,0,0,225,217,218,225,217,218
39,Narail,0,0,55413,0,0,0,1433,1520,1464,1433,1520,1464
40,Satkhira,8,7,137804,70,48,47,2270,1647,1713,2340,1695,1760
4,Khulna,46,44,907350,418,261,402,18054,18310,16999,18472,18571,17401
41,Jamalpur,0,0,15954,0,0,0,451,334,330,451,334,330
42,Mymensing,0,0,214677,0,0,0,4870,4518,4510,4870,4518,4510
43,Netrakona,0,0,18450,0,0,0,534,691,685,534,691,685
44,Sherpur,0,0,29869,0,0,0,449,511,506,449,511,506
5,Mymensing,0,0,278949,0,0,0,6304,6054,6031,6304,6054,6031
45,Bogura,0,0,268228,0,0,0,8228,8931,9445,8228,8931,9445
46,Joypurhat,2,2,26809,0,119,124,599,496,413,599,615,537
47,Naogaon,0,0,483432,0,0,0,5493,5293,5674,5493,5293,5674
48,Natore,0,0,155468,0,0,0,8296,8451,5254,8296,8451,5254
49,Chapai Nawabganj,0,0,21757,0,0,0,825,853,779,825,853,779
50,Pabna,0,0,58352,0,0,0,2340,2484,2579,2340,2484,2579
51,Rajshahi,0,0,253795,0,0,0,722,5899,5484,722,5899,5484
52,Sirajganj,0,0,109922,0,0,0,2246,2218,2209,2246,2218,2209
6,Rajshahi,2,2,1377763,0,119,124,28749,34625,31837,28749,34744,31961
53,Dinajpur,0,0,44163,0,0,0,826,567,629,826,567,629
54,Gaibandha,0,0,11937,0,0,0,283,276,190,283,276,190
55,Kurigram,0,0,4613,0,0,0,76,74,62,76,74,62
56,Lalmonirhat,0,0,4027,0,0,0,63,61,60,63,61,60
57,Nilphamari,0,0,3120,0,0,0,64,79,60,64,79,60
58,Panchagarh,0,0,4545,0,0,0,117,122,120,117,122,120
59,Rangpur,0,0,20442,0,0,0,386,428,436,386,428,436
60,Thakurgaon,0,0,6912,0,0,0,201,129,131,201,129,131
7,Rangpur,0,0,99759,0,0,0,2016,1736,1688,2016,1736,1688
61,Habiganj,0,0,17451,0,0,0,438,203,201,438,203,201
62,Maulvibazar,0,0,17909,0,0,0,436,436,432,436,436,432
63,Sunamganj,0,0,14448,0,0,0,0,683,680,0,683,680
64,Sylhet,0,0,5870,0,0,0,65,89,87,65,89,87
8,Sylhet,0,0,55677,0,0,0,939,1411,1400,939,1411,1400
,BANGLADESH,123,98,6326324,2244,1462,802,148513,159642,159098,150757,161104,159900
