Name of Crops,2015-16,,2016-17,,2017-18,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Banana,117159,798012,120203,807104,121384,810347
Mango,93480,1161685,102939,1288315,109584,1165804
Pineapple,33498,200701,35483,211833,35237,208401
Jackfruit,27334,1031153,35342,1049912,24731,1075525
Ripe Papaya,9761,130371,3942,134647,8251,131598
Water-Melon,27296,249605,29338,253661,28980,226991
Litchi,5649,77705,7136,90297,40889,94160
Guava,8794,214308,11526,229376,11365,241504
Ber (Kul),5267,86314,7062,89875,4292,114193
Orange,1073,3218,1055,3372,220650,3315
Lime & Lemon,4822,65248,6371,69132,4425,67077
Pomelo(Jambura/Batavilabu),812,66470,777,65560,1046,68137
Melon (Banggi),10167,49270,9114,40959,9022,40703
Tamarind (Tetul),81,10966,22,10812,14804,11657
Star apple (Jamrul),8,10037,8,10091,8,10679
Khirai,12930,46446,14038,50495,14080,47475
Black berry,354,52002,290,52045,47364,50332
Carambola apple (Kamranga),51,15596,17,14221,7181,14760
Woodapple(kathbell),57,27915,62,28745,18110,28178
Geen Coconut,11635,423582,3585,471046,192544,445267
Olive (Jalpai),168,19025,184,17888,20928,17962
Hog plum(Amra),195,36171,247,39454,17733,39921
Other Fruits,15,15471,37,15752,7950,12134
Other Citrus Fruits,56,21099,79,23206,521750,22086
Total-,370662,4812370,388857,5067798,1482308,4948206
